H, ύ	X, μμ	Y, μμ
-408.88	0	0
-431.55	1	0
-452.84	2	0
-478.31	3	0
-502.79	4	0
-532.50	5	0
-559.19	6	0
-592.22	7	0
-622.67	8	0
-661.53	9	0
-697.69	10	0
-741.21	11	0
-782.19	12	0
-832.47	13	0
-879.01	14	0
-941.20	15	0
-1003.91	16	0
-1064.60	17	0
-1135.64	18	0
-1202.49	19	0
-1283.99	20	0
-1360.21	21	0
-1452.04	22	0
-1538.61	23	0
-1643.87	24	0
-1740.00	25	0
-1859.20	26	0
-1966.68	27	0
-2097.95	28	0
-2220.67	29	0
-2192.05	30	0
-407.10	0	1
-430.23	1	1
-451.76	2	1
-477.73	3	1
-501.73	4	1
-531.95	5	1
-558.93	6	1
-592.19	7	1
-623.14	8	1
-662.09	9	1
-698.14	10	1
-741.83	11	1
-782.23	12	1
-833.47	13	1
-878.44	14	1
-940.91	15	1
-1004.14	16	1
-1062.54	17	1
-1134.68	18	1
-1199.42	19	1
-1280.50	20	1
-1356.33	21	1
-1450.10	22	1
-1535.95	23	1
-1641.33	24	1
-1739.44	25	1
-1858.82	26	1
-1967.65	27	1
-2100.45	28	1
-2224.39	29	1
-2368.90	30	1
-414.64	0	2
-438.80	1	2
-459.64	2	2
-486.48	3	2
-510.84	4	2
-541.89	5	2
-569.04	6	2
-603.70	7	2
-634.96	8	2
-674.98	9	2
-711.35	10	2
-756.15	11	2
-796.47	12	2
-847.18	13	2
-895.30	14	2
-959.61	15	2
-1022.94	16	2
-1083.63	17	2
-1157.17	18	2
-1224.58	19	2
-1307.09	20	2
-1386.29	21	2
-1481.81	22	2
-1570.41	23	2
-1679.15	24	2
-1779.44	25	2
-1900.57	26	2
-2013.63	27	2
-2148.53	28	2
-2278.92	29	2
-2428.09	30	2
-420.56	0	3
-444.93	1	3
-466.67	2	3
-494.57	3	3
-519.28	4	3
-551.03	5	3
-578.71	6	3
-613.89	7	3
-645.96	8	3
-686.33	9	3
-723.26	10	3
-768.86	11	3
-810.50	12	3
-861.95	13	3
-910.69	14	3
-975.31	15	3
-1039.56	16	3
-1102.73	17	3
-1176.57	18	3
-1247.84	19	3
-1332.47	20	3
-1415.90	21	3
-1510.46	22	3
-1606.65	23	3
-1717.97	24	3
-1825.07	25	3
-1953.28	26	3
-2072.65	27	3
-2214.66	28	3
-2348.61	29	3
-2508.94	30	3
-424.54	0	4
-449.04	1	4
-471.22	2	4
-499.02	3	4
-524.09	4	4
-555.79	5	4
-584.02	6	4
-618.96	7	4
-651.41	8	4
-691.86	9	4
-730.27	10	4
-776.56	11	4
-820.14	12	4
-873.26	13	4
-923.30	14	4
-990.67	15	4
-1057.54	16	4
-1124.02	17	4
-1202.64	18	4
-1274.21	19	4
-1361.27	20	4
-1446.24	21	4
-1548.55	22	4
-1644.00	23	4
-1760.28	24	4
-1871.11	25	4
-2003.44	26	4
-2124.46	27	4
-2271.13	28	4
-2411.41	29	4
-2573.55	30	4
-427.17	0	5
-451.52	1	5
-473.91	2	5
-501.52	3	5
-527.16	4	5
-559.23	5	5
-588.29	6	5
-624.34	7	5
-657.53	8	5
-699.97	9	5
-738.48	10	5
-786.71	11	5
-831.58	12	5
-886.26	13	5
-937.35	14	5
-1005.31	15	5
-1075.06	16	5
-1142.06	17	5
-1220.76	18	5
-1295.80	19	5
-1385.55	20	5
-1471.84	21	5
-1574.27	22	5
-1673.87	23	5
-1793.52	24	5
-1902.41	25	5
-2037.20	26	5
-2161.06	27	5
-2308.51	28	5
-2446.68	29	5
-2608.97	30	5
-430.64	0	6
-454.99	1	6
-478.28	2	6
-506.75	3	6
-533.18	4	6
-566.14	5	6
-595.74	6	6
-632.58	7	6
-666.03	8	6
-709.53	9	6
-749.50	10	6
-798.08	11	6
-843.42	12	6
-900.08	13	6
-952.15	14	6
-1021.67	15	6
-1092.45	16	6
-1161.13	17	6
-1242.15	18	6
-1317.06	19	6
-1408.93	20	6
-1497.41	21	6
-1600.38	22	6
-1699.52	23	6
-1820.56	24	6
-1929.55	25	6
-2066.31	26	6
-2189.00	27	6
-2338.49	28	6
-2476.87	29	6
-2642.18	30	6
-434.53	0	7
-459.94	1	7
-483.72	2	7
-513.06	3	7
-539.95	4	7
-573.16	5	7
-603.10	6	7
-640.74	7	7
-675.34	8	7
-719.51	9	7
-759.95	10	7
-809.35	11	7
-854.82	12	7
-912.63	13	7
-965.39	14	7
-1036.16	15	7
-1107.73	16	7
-1175.78	17	7
-1258.09	18	7
-1332.58	19	7
-1425.67	20	7
-1512.87	21	7
-1620.79	22	7
-1719.46	23	7
-1842.26	24	7
-1954.24	25	7
-2091.58	26	7
-2216.25	27	7
-2367.50	28	7
-2509.24	29	7
-2673.84	30	7
-440.18	0	8
-465.78	1	8
-489.66	2	8
-518.72	3	8
-545.79	4	8
-579.46	5	8
-609.60	6	8
-648.06	7	8
-682.56	8	8
-726.96	9	8
-767.22	10	8
-817.71	11	8
-863.29	12	8
-921.50	13	8
-975.08	14	8
-1047.65	15	8
-1119.18	16	8
-1187.67	17	8
-1271.52	18	8
-1347.61	19	8
-1441.34	20	8
-1530.92	21	8
-1639.16	22	8
-1738.92	23	8
-1863.54	24	8
-1976.57	25	8
-2114.68	26	8
-2241.14	27	8
-2394.39	28	8
-2537.76	29	8
-2704.50	30	8
-449.89	0	9
-471.92	1	9
-500.36	2	9
-526.22	3	9
-558.90	4	9
-587.58	5	9
-623.71	6	9
-657.70	7	9
-699.71	8	9
-738.11	9	9
-785.06	10	9
-829.08	11	9
-884.35	12	9
-935.28	13	9
-998.60	14	9
-1072.02	15	9
-1137.69	16	9
-1217.42	17	9
-1290.31	18	9
-1381.05	19	9
-1468.46	20	9
-1572.78	21	9
-1668.85	22	9
-1789.76	23	9
-1900.70	24	9
-2034.71	25	9
-2161.95	26	9
-2312.00	27	9
-2452.55	28	9
-2614.57	29	9
-2770.21	30	9
-452.68	0	10
-475.09	1	10
-503.75	2	10
-529.44	3	10
-562.50	4	10
-591.01	5	10
-626.90	6	10
-660.93	7	10
-702.55	8	10
-741.56	9	10
-789.06	10	10
-833.87	11	10
-890.60	12	10
-943.06	13	10
-1007.06	14	10
-1081.65	15	10
-1149.43	16	10
-1230.53	17	10
-1306.24	18	10
-1397.90	19	10
-1486.05	20	10
-1590.25	21	10
-1690.53	22	10
-1811.83	23	10
-1926.78	24	10
-2063.01	25	10
-2191.39	26	10
-2341.52	27	10
-2483.34	28	10
-2649.14	29	10
-2802.96	30	10
-453.91	0	11
-476.39	1	11
-504.71	2	11
-530.68	3	11
-563.65	4	11
-592.50	5	11
-629.26	6	11
-664.34	7	11
-706.51	8	11
-746.27	9	11
-794.50	10	11
-839.34	11	11
-896.51	12	11
-950.62	13	11
-1015.46	14	11
-1087.80	15	11
-1158.08	16	11
-1240.98	17	11
-1316.96	18	11
-1410.00	19	11
-1499.39	20	11
-1606.32	21	11
-1704.41	22	11
-1826.49	23	11
-1943.16	24	11
-2080.57	25	11
-2206.53	26	11
-2360.61	27	11
-2502.51	28	11
-2665.16	29	11
-2816.93	30	11
-454.27	0	12
-476.99	1	12
-505.15	2	12
-532.09	3	12
-565.22	4	12
-594.65	5	12
-632.36	6	12
-666.63	7	12
-710.30	8	12
-749.57	9	12
-798.43	10	12
-844.21	11	12
-901.62	12	12
-955.69	13	12
-1021.96	14	12
-1096.63	15	12
-1166.22	16	12
-1248.33	17	12
-1325.14	18	12
-1419.11	19	12
-1507.93	20	12
-1616.61	21	12
-1716.29	22	12
-1836.39	23	12
-1952.00	24	12
-2088.41	25	12
-2213.97	26	12
-2368.48	27	12
-2507.29	28	12
-2671.78	29	12
-2821.21	30	12
-454.67	0	13
-478.36	1	13
-506.49	2	13
-533.69	3	13
-567.35	4	13
-597.05	5	13
-635.04	6	13
-669.71	7	13
-713.15	8	13
-753.22	9	13
-802.57	10	13
-848.28	11	13
-906.93	12	13
-959.89	13	13
-1026.07	14	13
-1103.75	15	13
-1170.24	16	13
-1254.26	17	13
-1329.21	18	13
-1422.45	19	13
-1510.18	20	13
-1618.57	21	13
-1716.30	22	13
-1839.84	23	13
-1954.63	24	13
-2090.86	25	13
-2216.45	26	13
-2371.08	27	13
-2512.21	28	13
-2677.07	29	13
-2827.46	30	13
-456.84	0	14
-480.38	1	14
-509.40	2	14
-536.38	3	14
-570.36	4	14
-599.44	5	14
-637.07	6	14
-672.14	7	14
-715.82	8	14
-756.30	9	14
-804.96	10	14
-850.48	11	14
-907.31	12	14
-961.89	13	14
-1027.86	14	14
-1105.21	15	14
-1172.01	16	14
-1254.86	17	14
-1330.17	18	14
-1423.66	19	14
-1513.51	20	14
-1621.73	21	14
-1721.03	22	14
-1842.15	23	14
-1958.54	24	14
-2094.04	25	14
-2221.55	26	14
-2374.00	27	14
-2515.55	28	14
-2679.57	29	14
-2831.57	30	14
-457.63	0	15
-480.42	1	15
-509.81	2	15
-536.50	3	15
-570.55	4	15
-600.59	5	15
-638.37	6	15
-672.68	7	15
-716.58	8	15
-756.65	9	15
-805.51	10	15
-851.60	11	15
-907.49	12	15
-961.81	13	15
-1027.60	14	15
-1106.13	15	15
-1171.31	16	15
-1252.64	17	15
-1329.53	18	15
-1420.65	19	15
-1511.40	20	15
-1617.77	21	15
-1720.43	22	15
-1841.41	23	15
-1960.28	24	15
-2092.24	25	15
-2222.71	26	15
-2377.35	27	15
-2520.25	28	15
-2689.51	29	15
-2844.47	30	15
-456.57	0	16
-479.66	1	16
-508.66	2	16
-535.27	3	16
-568.96	4	16
-598.59	5	16
-635.72	6	16
-670.41	7	16
-713.56	8	16
-753.70	9	16
-801.14	10	16
-847.60	11	16
-903.15	12	16
-958.52	13	16
-1024.70	14	16
-1099.40	15	16
-1169.79	16	16
-1253.06	17	16
-1328.19	18	16
-1422.55	19	16
-1512.87	20	16
-1620.88	21	16
-1720.72	22	16
-1842.43	23	16
-1961.42	24	16
-2099.07	25	16
-2227.81	26	16
-2386.54	27	16
-2529.46	28	16
-2695.25	29	16
-2849.10	30	16
-454.96	0	17
-477.90	1	17
-506.09	2	17
-532.87	3	17
-566.01	4	17
-595.72	5	17
-632.57	6	17
-667.51	7	17
-711.50	8	17
-750.49	9	17
-800.09	10	17
-845.86	11	17
-901.51	12	17
-956.94	13	17
-1023.31	14	17
-1098.16	15	17
-1167.16	16	17
-1249.14	17	17
-1327.00	18	17
-1420.05	19	17
-1510.61	20	17
-1620.39	21	17
-1720.28	22	17
-1841.34	23	17
-1958.92	24	17
-2096.23	25	17
-2226.54	26	17
-2382.75	27	17
-2524.19	28	17
-2694.84	29	17
-2842.84	30	17
-462.58	0	18
-487.13	1	18
-516.25	2	18
-543.16	3	18
-576.98	4	18
-607.81	5	18
-646.67	6	18
-683.09	7	18
-726.58	8	18
-767.16	9	18
-817.46	10	18
-865.95	11	18
-924.19	12	18
-978.48	13	18
-1045.77	14	18
-1127.68	15	18
-1195.80	16	18
-1280.05	17	18
-1360.12	18	18
-1457.43	19	18
-1548.23	20	18
-1659.20	21	18
-1761.70	22	18
-1889.90	23	18
-2002.53	24	18
-2146.24	25	18
-2277.49	26	18
-2433.42	27	18
-2573.39	28	18
-2745.15	29	18
-2900.54	30	18
-461.03	0	19
-485.34	1	19
-514.57	2	19
-541.09	3	19
-575.00	4	19
-605.68	5	19
-644.75	6	19
-680.32	7	19
-724.08	8	19
-764.09	9	19
-815.15	10	19
-862.03	11	19
-920.86	12	19
-974.53	13	19
-1041.60	14	19
-1122.26	15	19
-1190.46	16	19
-1273.29	17	19
-1352.10	18	19
-1449.04	19	19
-1536.67	20	19
-1645.84	21	19
-1748.16	22	19
-1873.70	23	19
-1987.30	24	19
-2128.39	25	19
-2258.97	26	19
-2412.50	27	19
-2555.17	28	19
-2726.19	29	19
-2882.89	30	19
-459.79	0	20
-484.04	1	20
-513.20	2	20
-539.97	3	20
-573.24	4	20
-604.11	5	20
-642.30	6	20
-677.49	7	20
-720.53	8	20
-760.50	9	20
-810.65	10	20
-857.30	11	20
-915.17	12	20
-967.13	13	20
-1034.10	14	20
-1115.86	15	20
-1180.04	16	20
-1263.41	17	20
-1341.42	18	20
-1436.70	19	20
-1524.22	20	20
-1632.80	21	20
-1733.82	22	20
-1858.51	23	20
-1971.25	24	20
-2111.05	25	20
-2240.89	26	20
-2395.33	27	20
-2535.15	28	20
-2705.71	29	20
-2861.59	30	20
-456.93	0	21
-480.45	1	21
-509.54	2	21
-536.04	3	21
-569.11	4	21
-598.96	5	21
-637.42	6	21
-671.80	7	21
-714.37	8	21
-754.01	9	21
-803.02	10	21
-849.68	11	21
-906.33	12	21
-957.52	13	21
-1023.29	14	21
-1103.70	15	21
-1167.05	16	21
-1248.72	17	21
-1325.26	18	21
-1419.51	19	21
-1506.10	20	21
-1613.79	21	21
-1714.25	22	21
-1837.92	23	21
-1950.59	24	21
-2089.80	25	21
-2218.06	26	21
-2373.72	27	21
-2514.46	28	21
-2686.43	29	21
-2846.39	30	21
-457.43	0	22
-484.85	1	22
-509.34	2	22
-540.00	3	22
-568.81	4	22
-604.61	5	22
-636.71	6	22
-676.28	7	22
-713.52	8	22
-759.30	9	22
-802.39	10	22
-854.58	11	22
-903.07	12	22
-964.56	13	22
-1021.83	14	22
-1098.80	15	22
-1175.15	16	22
-1248.88	17	22
-1337.42	18	22
-1418.55	19	22
-1519.01	20	22
-1615.76	21	22
-1729.97	22	22
-1836.65	23	22
-1966.64	24	22
-2092.98	25	22
-2239.62	26	22
-2376.79	27	22
-2542.31	28	22
-2693.96	29	22
-2871.30	30	22
-459.75	0	23
-482.82	1	23
-511.73	2	23
-538.02	3	23
-571.36	4	23
-601.30	5	23
-638.31	6	23
-673.15	7	23
-716.49	8	23
-757.21	9	23
-804.61	10	23
-851.83	11	23
-907.43	12	23
-961.71	13	23
-1028.11	14	23
-1102.39	15	23
-1173.13	16	23
-1253.41	17	23
-1331.62	18	23
-1425.08	19	23
-1513.87	20	23
-1623.05	21	23
-1723.53	22	23
-1846.54	23	23
-1960.89	24	23
-2100.10	25	23
-2229.93	26	23
-2385.77	27	23
-2531.14	28	23
-2702.70	29	23
-2855.78	30	23
-455.18	0	24
-478.20	1	24
-506.87	2	24
-533.10	3	24
-566.27	4	24
-596.01	5	24
-632.60	6	24
-667.45	7	24
-709.81	8	24
-750.28	9	24
-798.14	10	24
-843.17	11	24
-898.94	12	24
-952.52	13	24
-1017.78	14	24
-1091.56	15	24
-1161.91	16	24
-1242.34	17	24
-1317.61	18	24
-1408.94	19	24
-1497.64	20	24
-1604.64	21	24
-1703.71	22	24
-1826.17	23	24
-1938.92	24	24
-2072.83	25	24
-2200.71	26	24
-2354.26	27	24
-2495.56	28	24
-2663.97	29	24
-2814.18	30	24
-449.45	0	25
-473.03	1	25
-501.05	2	25
-527.01	3	25
-558.87	4	25
-588.91	5	25
-625.12	6	25
-659.28	7	25
-701.58	8	25
-740.78	9	25
-788.18	10	25
-832.18	11	25
-887.53	12	25
-939.46	13	25
-1004.04	14	25
-1078.06	15	25
-1144.26	16	25
-1224.50	17	25
-1295.67	18	25
-1387.64	19	25
-1471.99	20	25
-1576.95	21	25
-1671.39	22	25
-1791.99	23	25
-1899.37	24	25
-2034.81	25	25
-2156.62	26	25
-2305.99	27	25
-2444.46	28	25
-2607.84	29	25
-2757.04	30	25
-444.46	0	26
-467.12	1	26
-494.73	2	26
-520.12	3	26
-552.15	4	26
-580.65	5	26
-616.84	6	26
-649.71	7	26
-690.66	8	26
-728.90	9	26
-775.84	10	26
-818.21	11	26
-872.55	12	26
-921.94	13	26
-984.72	14	26
-1058.14	15	26
-1120.32	16	26
-1198.64	17	26
-1267.88	18	26
-1356.55	19	26
-1438.87	20	26
-1540.76	21	26
-1633.11	22	26
-1749.39	23	26
-1854.62	24	26
-1984.31	25	26
-2103.12	26	26
-2244.70	27	26
-2383.54	28	26
-2541.21	29	26
-2684.28	30	26
-440.04	0	27
-462.04	1	27
-489.24	2	27
-514.14	3	27
-545.41	4	27
-573.60	5	27
-608.49	6	27
-640.66	7	27
-681.57	8	27
-718.78	9	27
-764.50	10	27
-806.29	11	27
-858.84	12	27
-907.94	13	27
-968.89	14	27
-1040.13	15	27
-1101.19	16	27
-1177.51	17	27
-1245.32	18	27
-1330.79	19	27
-1412.20	20	27
-1511.40	21	27
-1602.03	22	27
-1715.65	23	27
-1819.23	24	27
-1946.30	25	27
-2064.39	26	27
-2206.56	27	27
-2339.45	28	27
-2493.63	29	27
-2604.15	30	27
-433.86	0	28
-454.54	1	28
-481.67	2	28
-505.60	3	28
-536.40	4	28
-563.74	5	28
-597.92	6	28
-629.26	7	28
-668.99	8	28
-704.65	9	28
-748.84	10	28
-790.48	11	28
-840.61	12	28
-888.97	13	28
-948.28	14	28
-1015.64	15	28
-1078.47	16	28
-1151.82	17	28
-1218.06	18	28
-1301.21	19	28
-1380.43	20	28
-1476.31	21	28
-1565.86	22	28
-1674.83	23	28
-1777.04	24	28
-1897.24	25	28
-2015.09	26	28
-2152.70	27	28
-2283.28	28	28
-2406.94	29	28
-2549.25	30	28
