H, ύ	X, μμ	Y, μμ
-51.13	0	0
-47.67	1	0
-44.10	2	0
-39.54	3	0
-34.99	4	0
-28.97	5	0
-22.53	6	0
-13.80	7	0
-5.43	8	0
5.32	9	0
16.16	10	0
31.37	11	0
47.07	12	0
66.74	13	0
84.92	14	0
111.85	15	0
140.76	16	0
168.08	17	0
202.68	18	0
238.46	19	0
286.01	20	0
331.39	21	0
392.00	22	0
453.86	23	0
532.06	24	0
608.94	25	0
710.43	26	0
816.48	27	0
954.49	28	0
1091.54	29	0
1146.57	30	0
-50.67	0	1
-47.07	1	1
-43.09	2	1
-37.54	3	1
-31.87	4	1
-24.69	5	1
-17.30	6	1
-7.60	7	1
1.89	8	1
14.18	9	1
25.54	10	1
41.81	11	1
58.18	12	1
78.21	13	1
97.50	14	1
124.71	15	1
154.76	16	1
183.08	17	1
219.74	18	1
258.55	19	1
306.52	20	1
354.01	21	1
415.90	22	1
478.71	23	1
559.25	24	1
639.43	25	1
744.60	26	1
851.93	27	1
988.46	28	1
1126.15	29	1
1303.82	30	1
-47.52	0	2
-43.24	1	2
-38.72	2	2
-33.29	3	2
-27.49	4	2
-19.72	5	2
-12.35	6	2
-2.08	7	2
7.52	8	2
19.89	9	2
31.83	10	2
48.50	11	2
65.28	12	2
86.08	13	2
105.40	14	2
132.91	15	2
163.59	16	2
192.66	17	2
230.66	18	2
269.31	19	2
318.25	20	2
365.43	21	2
427.39	22	2
489.28	23	2
570.66	24	2
650.23	25	2
757.09	26	2
862.02	27	2
999.25	28	2
1138.65	29	2
1318.10	30	2
-44.53	0	3
-40.41	1	3
-36.02	2	3
-29.82	3	3
-24.00	4	3
-16.38	5	3
-8.53	6	3
1.39	7	3
11.07	8	3
23.67	9	3
35.95	10	3
52.91	11	3
69.55	12	3
89.73	13	3
108.86	14	3
136.05	15	3
166.38	16	3
196.01	17	3
233.51	18	3
270.73	19	3
319.37	20	3
366.88	21	3
429.28	22	3
492.19	23	3
574.00	24	3
653.26	25	3
757.74	26	3
865.67	27	3
1005.05	28	3
1143.37	29	3
1322.01	30	3
-43.59	0	4
-39.67	1	4
-35.35	2	4
-29.96	3	4
-25.27	4	4
-17.92	5	4
-10.22	6	4
