H, ύ	X, μμ	Y, μμ
-161.34	0	0
-165.95	1	0
-170.26	2	0
-175.18	3	0
-179.87	4	0
-187.06	5	0
-190.20	6	0
-196.48	7	0
-201.09	8	0
-205.17	9	0
-210.14	10	0
-215.36	11	0
-219.75	12	0
-225.22	13	0
-229.55	14	0
-234.30	15	0
-239.00	16	0
-241.06	17	0
-243.97	18	0
-246.21	19	0
-248.05	20	0
-247.40	21	0
-246.89	22	0
-244.97	23	0
-240.80	24	0
-235.55	25	0
-226.40	26	0
-215.26	27	0
-199.74	28	0
-181.48	29	0
-154.75	30	0
-166.50	0	1
-172.23	1	1
-177.23	2	1
-183.09	3	1
-188.01	4	1
-194.26	5	1
-199.32	6	1
-205.23	7	1
-210.46	8	1
-216.37	9	1
-221.14	10	1
-226.64	11	1
-231.19	12	1
-236.04	13	1
-239.77	14	1
-243.65	15	1
-246.85	16	1
-248.40	17	1
-249.49	18	1
-249.90	19	1
-247.98	20	1
-245.45	21	1
-240.75	22	1
-236.01	23	1
-228.63	24	1
-220.04	25	1
-209.87	26	1
-197.30	27	1
-173.23	28	1
-151.30	29	1
-117.63	30	1
-171.14	0	2
-176.88	1	2
-181.79	2	2
-187.60	3	2
-192.28	4	2
-197.77	5	2
-202.45	6	2
-207.94	7	2
-212.69	8	2
-217.64	9	2
-221.28	10	2
-224.92	11	2
-227.78	12	2
-230.44	13	2
-232.46	14	2
-235.41	15	2
-238.92	16	2
-240.37	17	2
-239.74	18	2
-239.08	19	2
-236.03	20	2
-233.84	21	2
-229.93	22	2
-224.78	23	2
-216.00	24	2
-205.90	25	2
-192.90	26	2
-179.11	27	2
-159.78	28	2
-138.98	29	2
-110.43	30	2
-171.93	0	3
-177.68	1	3
-182.53	2	3
-187.58	3	3
-191.63	4	3
-196.38	5	3
-200.34	6	3
-204.86	7	3
-208.71	8	3
-213.19	9	3
-217.77	10	3
-221.05	11	3
-224.51	12	3
-228.29	13	3
-231.13	14	3
-234.35	15	3
-236.86	16	3
-238.54	17	3
-239.20	18	3
-238.89	19	3
-237.78	20	3
-235.66	21	3
-230.88	22	3
-226.84	23	3
-221.12	24	3
-213.02	25	3
-200.12	26	3
-187.17	27	3
-172.02	28	3
-154.22	29	3
-131.77	30	3
-170.92	0	4
-175.82	1	4
-180.01	2	4
-184.89	3	4
-189.74	4	4
-194.89	5	4
-198.58	6	4
-203.24	7	4
-207.33	8	4
-211.88	9	4
-216.26	10	4
-220.58	11	4
-224.62	12	4
-228.09	13	4
-231.59	14	4
-235.56	15	4
-238.93	16	4
-241.36	17	4
-243.21	18	4
-243.68	19	4
-242.96	20	4
-242.20	21	4
-240.75	22	4
-238.19	23	4
-234.27	24	4
-229.00	25	4
-220.94	26	4
-208.45	27	4
-195.48	28	4
-179.38	29	4
-155.63	30	4
-168.82	0	5
-173.69	1	5
-177.99	2	5
-183.25	3	5
-187.83	4	5
-192.85	5	5
-197.17	6	5
-202.30	7	5
-207.50	8	5
-212.49	9	5
-217.08	10	5
-222.25	11	5
-226.61	12	5
-230.85	13	5
-234.77	14	5
-239.54	15	5
-244.10	16	5
-247.93	17	5
-252.12	18	5
-255.31	19	5
-255.31	20	5
-256.25	21	5
-257.03	22	5
-255.95	23	5
-253.88	24	5
-251.10	25	5
-244.50	26	5
-236.35	27	5
-222.40	28	5
-212.81	29	5
-195.52	30	5
-167.45	0	6
-172.66	1	6
-177.41	2	6
-183.15	3	6
-188.09	4	6
-193.44	5	6
-198.31	6	6
-204.01	7	6
-209.36	8	6
-215.20	9	6
-221.02	10	6
-228.25	11	6
-232.44	12	6
-237.46	13	6
-242.99	14	6
-249.13	15	6
-254.91	16	6
-259.32	17	6
-263.84	18	6
-267.81	19	6
-273.24	20	6
-275.82	21	6
-277.41	22	6
-278.03	23	6
-278.18	24	6
-275.65	25	6
-270.68	26	6
-265.62	27	6
-256.45	28	6
-243.71	29	6
-224.26	30	6
-171.67	0	7
-176.81	1	7
-182.25	2	7
-187.85	3	7
-194.26	4	7
-199.99	5	7
-207.12	6	7
-213.02	7	7
-219.78	8	7
-225.97	9	7
-232.84	10	7
-238.22	11	7
-244.22	12	7
-250.20	13	7
-257.06	14	7
-264.33	15	7
-268.95	16	7
-273.96	17	7
-277.81	18	7
-280.78	19	7
-282.98	20	7
-285.36	21	7
-285.92	22	7
-285.63	23	7
-283.14	24	7
-276.74	25	7
-267.35	26	7
-253.36	27	7
-238.49	28	7
-217.36	29	7
-194.28	30	7
-175.56	0	8
-180.81	1	8
-187.29	2	8
-192.79	3	8
-199.35	4	8
-204.84	5	8
-211.45	6	8
-217.15	7	8
-223.72	8	8
-229.09	9	8
-235.08	10	8
-240.35	11	8
-245.93	12	8
-250.43	13	8
-254.44	14	8
-258.20	15	8
-261.23	16	8
-263.62	17	8
-265.13	18	8
-266.28	19	8
-266.58	20	8
-267.79	21	8
-265.45	22	8
-260.41	23	8
-255.12	24	8
-245.70	25	8
-236.30	26	8
-223.94	27	8
-209.56	28	8
-186.50	29	8
-159.09	30	8
-177.14	0	9
-181.97	1	9
-188.03	2	9
-193.02	3	9
-198.94	4	9
-203.83	5	9
