H, ύ	X, μμ	Y, μμ
-183.92	0	0
-195.69	2	0
-206.42	4	0
-217.60	6	0
-228.34	8	0
-239.15	10	0
-250.46	12	0
-259.41	14	0
-268.99	16	0
-275.58	18	0
-281.41	20	0
-283.90	22	0
-282.69	24	0
-274.98	26	0
-261.03	28	0
-234.54	30	0
-182.48	0	2
-193.74	2	2
-204.89	4	2
-216.26	6	2
-228.04	8	2
-240.23	10	2
-253.21	12	2
-264.45	14	2
-279.03	16	2
-289.83	18	2
-300.17	20	2
-305.20	22	2
-311.60	24	2
-310.84	26	2
-299.09	28	2
-274.84	30	2
-182.80	0	4
-194.61	2	4
-206.99	4	4
-220.54	6	4
-235.65	8	4
-249.13	10	4
-263.66	12	4
-276.02	14	4
-292.32	16	4
-304.53	18	4
-313.86	20	4
-321.32	22	4
-324.40	24	4
-318.84	26	4
-304.51	28	4
-272.85	30	4
-186.14	0	6
-199.47	2	6
-213.67	4	6
-227.72	6	6
-241.27	8	6
-256.03	10	6
-271.62	12	6
-284.78	14	6
-300.52	16	6
-311.63	18	6
-321.50	20	6
-326.27	22	6
-327.34	24	6
-314.55	26	6
-291.21	28	6
-258.76	30	6
-191.07	0	8
-203.52	2	8
-217.94	4	8
-232.61	6	8
-247.06	8	8
-260.93	10	8
-276.31	12	8
-289.49	14	8
-304.25	16	8
-315.07	18	8
-321.64	20	8
-320.60	22	8
-317.97	24	8
-308.04	26	8
-282.08	28	8
-233.58	30	8
-193.84	0	10
-207.18	2	10
-220.65	4	10
-235.21	6	10
-249.64	8	10
-263.37	10	10
-277.66	12	10
-290.52	14	10
-301.65	16	10
-307.65	18	10
-314.98	20	10
-312.68	22	10
-307.14	24	10
-288.64	26	10
-252.59	28	10
-204.52	30	10
-197.29	0	12
-210.17	2	12
-223.90	4	12
-237.60	6	12
-251.41	8	12
-263.39	10	12
-275.13	12	12
-286.68	14	12
-295.11	16	12
-300.57	18	12
-302.14	20	12
-295.41	22	12
-287.70	24	12
-268.07	26	12
-233.89	28	12
-179.00	30	12
-197.73	0	14
-209.38	2	14
-221.44	4	14
-234.52	6	14
-246.11	8	14
-257.01	10	14
-267.16	12	14
-276.20	14	14
-284.39	16	14
-288.71	18	14
-289.24	20	14
-284.41	22	14
-276.06	24	14
-256.51	26	14
-224.91	28	14
-177.84	30	14
-192.22	0	16
-203.35	2	16
-214.70	4	16
-226.73	6	16
-238.20	8	16
-249.22	10	16
-260.35	12	16
-270.73	14	16
-280.99	16	16
-288.58	18	16
-296.10	20	16
-298.67	22	16
-297.61	24	16
-288.08	26	16
-263.56	28	16
-229.42	30	16
-186.61	0	18
-197.55	2	18
-209.25	4	18
-221.53	6	18
-234.13	8	18
-247.96	10	18
-261.77	12	18
-274.62	14	18
-287.14	16	18
-297.79	18	18
-306.79	20	18
-310.83	22	18
-310.04	24	18
-303.39	26	18
-282.34	28	18
-241.05	30	18
-184.11	0	20
-195.84	2	20
-209.73	4	20
-223.85	6	20
-237.37	8	20
-249.24	10	20
-263.33	12	20
-277.34	14	20
-289.84	16	20
-298.91	18	20
-306.60	20	20
-308.69	22	20
-304.63	24	20
-293.62	26	20
-263.67	28	20
-212.66	30	20
-184.96	0	22
-197.88	2	22
-210.46	4	22
-223.60	6	22
-237.15	8	22
-250.35	10	22
-262.76	12	22
-275.95	14	22
-287.49	16	22
-295.48	18	22
-301.28	20	22
-299.78	22	22
-289.67	24	22
-269.73	26	22
-244.53	28	22
-192.65	30	22
-184.34	0	24
-196.53	2	24
-209.74	4	24
-221.93	6	24
-234.74	8	24
-247.04	10	24
-259.01	12	24
-270.41	14	24
-280.72	16	24
-285.66	18	24
-284.94	20	24
-283.19	22	24
-272.57	24	24
-252.44	26	24
-211.31	28	24
-148.91	30	24
-182.51	0	26
-194.16	2	26
-206.49	4	26
-218.30	6	26
-229.90	8	26
-241.37	10	26
-251.66	12	26
-260.02	14	26
-266.96	16	26
-271.28	18	26
-270.26	20	26
-263.73	22	26
-248.31	24	26
-222.76	26	26
-185.32	28	26
-123.61	30	26
-179.83	0	28
-190.64	2	28
-202.03	4	28
-212.36	6	28
-222.04	8	28
-232.09	10	28
-240.73	12	28
-247.85	14	28
-252.99	16	28
-252.74	18	28
-251.64	20	28
-243.98	22	28
-230.65	24	28
-206.28	26	28
-167.62	28	28
-141.00	30	28
