H, ύ	X, μμ	Y, μμ
-393.05	0	0
-415.05	1	0
-435.57	2	0
-460.59	3	0
-483.64	4	0
-512.36	5	0
-537.77	6	0
-569.82	7	0
-599.34	8	0
-636.69	9	0
-669.83	10	0
-711.09	11	0
-749.21	12	0
-796.65	13	0
-840.92	14	0
-900.31	15	0
-958.21	16	0
-1013.85	17	0
-1081.75	18	0
-1142.85	19	0
-1219.88	20	0
-1291.26	21	0
-1379.64	22	0
-1458.57	23	0
-1557.54	24	0
-1650.26	25	0
-1760.80	26	0
-1861.19	27	0
-1984.32	28	0
-2097.65	29	0
-2230.22	30	0
-401.81	0	1
-421.71	1	1
-446.15	2	1
-468.46	3	1
-496.06	4	1
-521.04	5	1
-551.88	6	1
-580.42	7	1
-616.41	8	1
-648.72	9	1
-688.63	10	1
-725.81	11	1
-772.13	12	1
-815.47	13	1
-868.17	14	1
-931.85	15	1
-984.43	16	1
-1051.10	17	1
-1111.51	18	1
-1186.44	19	1
-1258.05	20	1
-1344.27	21	1
-1424.53	22	1
-1520.05	23	1
-1612.15	24	1
-1693.93	25	1
-1810.58	26	1
-1916.73	27	1
-2045.11	28	1
-2166.39	29	1
-2302.98	30	1
-399.87	0	2
-422.76	1	2
-443.95	2	2
-469.97	3	2
-493.84	4	2
-523.77	5	2
-550.34	6	2
-583.86	7	2
-614.71	8	2
-653.50	9	2
-689.05	10	2
-732.64	11	2
-773.63	12	2
-823.71	13	2
-871.64	14	2
-933.65	15	2
-996.55	16	2
-1057.32	17	2
-1128.44	18	2
-1197.42	19	2
-1277.50	20	2
-1356.92	21	2
-1447.72	22	2
-1538.14	23	2
-1642.01	24	2
-1745.37	25	2
-1865.93	26	2
-1978.63	27	2
-2109.66	28	2
-2235.39	29	2
-2380.52	30	2
-403.55	0	3
-426.80	1	3
-448.52	2	3
-474.75	3	3
-499.51	4	3
-529.83	5	3
-557.56	6	3
-591.29	7	3
-623.40	8	3
-663.49	9	3
-699.70	10	3
-744.69	11	3
-786.63	12	3
-837.87	13	3
-886.90	14	3
-950.10	15	3
-1017.72	16	3
-1078.89	17	3
-1153.38	18	3
-1223.00	19	3
-1307.74	20	3
-1386.54	21	3
-1483.99	22	3
-1574.57	23	3
-1683.64	24	3
-1786.21	25	3
-1909.54	26	3
-2024.23	27	3
-2161.58	28	3
-2289.67	29	3
-2439.53	30	3
-414.73	0	4
-436.69	1	4
-462.31	2	4
-486.57	3	4
-515.92	4	4
-542.98	5	4
-575.88	6	4
-606.93	7	4
-645.88	8	4
-681.47	9	4
-723.98	10	4
-764.84	11	4
-815.62	12	4
-862.08	13	4
-918.97	14	4
-986.06	15	4
-1047.83	16	4
-1118.73	17	4
-1184.75	18	4
-1266.17	19	4
-1342.26	20	4
-1435.73	21	4
-1523.63	22	4
-1628.42	23	4
-1726.36	24	4
-1848.26	25	4
-1958.09	26	4
-2095.04	27	4
-2220.28	28	4
-2372.08	29	4
-2508.67	30	4
-420.70	0	5
-442.80	1	5
-469.03	2	5
-493.65	3	5
-522.62	4	5
-550.42	5	5
-583.95	6	5
-615.21	7	5
-654.07	8	5
-689.35	9	5
-732.39	10	5
-772.82	11	5
-823.65	12	5
-870.63	13	5
-927.42	14	5
-995.69	15	5
-1055.36	16	5
-1127.65	17	5
-1193.25	18	5
-1276.18	19	5
-1353.50	20	5
-1449.73	21	5
-1537.71	22	5
-1646.48	23	5
-1747.69	24	5
-1871.69	25	5
-1985.05	26	5
-2126.15	27	5
-2255.26	28	5
-2410.94	29	5
-2551.78	30	5
-424.99	0	6
-446.60	1	6
-472.95	2	6
-496.93	3	6
-527.25	4	6
-554.71	5	6
-588.69	6	6
-620.02	7	6
-659.70	8	6
-694.94	9	6
-738.81	10	6
-780.12	11	6
-832.21	12	6
-880.24	13	6
-939.11	14	6
-1009.54	15	6
-1068.11	16	6
-1142.82	17	6
-1210.06	18	6
-1295.80	19	6
-1375.78	20	6
-1474.79	21	6
-1563.43	22	6
-1675.09	23	6
-1778.56	24	6
-1905.89	25	6
-2023.22	26	6
-2167.26	27	6
-2299.62	28	6
-2458.64	29	6
-2602.12	30	6
-426.46	0	7
-448.15	1	7
-474.90	2	7
-499.69	3	7
-529.89	4	7
-557.69	5	7
-591.82	6	7
-623.46	7	7
-663.56	8	7
-699.64	9	7
-744.54	10	7
-786.74	11	7
-838.78	12	7
-888.47	13	7
-947.89	14	7
-1020.54	15	7
-1080.45	16	7
-1156.75	17	7
-1226.32	18	7
-1312.36	19	7
-1396.03	20	7
-1494.70	21	7
-1589.28	22	7
-1700.93	23	7
-1810.05	24	7
-1938.60	25	7
-2063.10	26	7
-2207.15	27	7
-2348.19	28	7
-2512.11	29	7
-2661.06	30	7
-431.05	0	8
-456.85	1	8
-480.35	2	8
-509.48	3	8
-536.34	4	8
-569.51	5	8
-600.12	6	8
-639.03	7	8
-673.58	8	8
-717.00	9	8
-757.21	10	8
-807.32	11	8
-855.89	12	8
-913.56	13	8
-966.71	14	8
-1039.03	15	8
