H, ύ	X, μμ	Y, μμ
-389.58	0	0
-408.57	1	0
-431.71	2	0
-452.99	3	0
-479.26	4	0
-503.06	5	0
-532.61	6	0
-559.89	7	0
-594.16	8	0
-625.59	9	0
-663.57	10	0
-699.66	11	0
-742.99	12	0
-785.88	13	0
-836.45	14	0
-896.76	15	0
-948.65	16	0
-1012.03	17	0
-1071.62	18	0
-1142.87	19	0
-1213.71	20	0
-1296.80	21	0
-1373.95	22	0
-1466.87	23	0
-1557.42	24	0
-1666.71	25	0
-1768.29	26	0
-1893.18	27	0
-2011.19	28	0
-2152.90	29	0
-2277.52	30	0
-393.39	0	1
-412.66	1	1
-436.61	2	1
-458.35	3	1
-485.40	4	1
-510.08	5	1
-540.63	6	1
-568.97	7	1
-604.31	8	1
-636.46	9	1
-674.82	10	1
-712.47	11	1
-757.18	12	1
-801.02	13	1
-852.84	14	1
-915.58	15	1
-969.23	16	1
-1033.83	17	1
-1095.31	18	1
-1170.39	19	1
-1241.86	20	1
-1327.18	21	1
-1408.95	22	1
-1506.30	23	1
-1598.19	24	1
-1711.56	25	1
-1816.95	26	1
-1945.07	27	1
-2064.58	28	1
-2208.00	29	1
-2338.95	30	1
-397.49	0	2
-417.71	1	2
-441.78	2	2
-463.85	3	2
-490.91	4	2
-516.80	5	2
-547.72	6	2
-576.97	7	2
-613.50	8	2
-646.68	9	2
-686.27	10	2
-724.26	11	2
-771.41	12	2
-815.58	13	2
-868.83	14	2
-932.77	15	2
-990.28	16	2
-1057.73	17	2
-1119.37	18	2
-1197.06	19	2
-1269.90	20	2
-1358.33	21	2
-1439.81	22	2
-1539.58	23	2
-1635.00	24	2
-1749.63	25	2
-1857.12	26	2
-1988.35	27	2
-2109.95	28	2
-2259.88	29	2
-2394.52	30	2
-404.32	0	3
-425.02	1	3
-449.42	2	3
-472.51	3	3
-500.49	4	3
-526.54	5	3
-558.22	6	3
-588.19	7	3
-625.21	8	3
-659.30	9	3
-699.98	10	3
-739.39	11	3
-787.40	12	3
-832.36	13	3
-886.35	14	3
-951.09	15	3
-1007.89	16	3
-1076.07	17	3
-1139.08	18	3
-1217.46	19	3
-1289.59	20	3
-1380.21	21	3
-1462.28	22	3
-1565.38	23	3
-1661.70	24	3
-1781.12	25	3
-1888.47	26	3
-2026.10	27	3
-2153.93	28	3
-2310.27	29	3
-2451.43	30	3
-410.64	0	4
-431.35	1	4
-456.17	2	4
-479.50	3	4
-507.38	4	4
-533.00	5	4
-565.17	6	4
-595.03	7	4
-631.91	8	4
-665.25	9	4
-706.58	10	4
-744.89	11	4
-792.84	12	4
-837.63	13	4
-892.52	14	4
-957.89	15	4
-1014.86	16	4
-1085.85	17	4
-1147.97	18	4
-1228.93	19	4
-1303.31	20	4
-1396.78	21	4
-1481.62	22	4
-1587.99	23	4
-1688.19	24	4
-1812.13	25	4
-1923.98	26	4
-2065.44	27	4
-2196.65	28	4
-2357.29	29	4
-2504.87	30	4
-413.17	0	5
-433.59	1	5
-458.83	2	5
-481.86	3	5
-510.68	4	5
-536.74	5	5
-569.26	6	5
-598.93	7	5
-637.11	8	5
-671.05	9	5
-712.97	10	5
-752.68	11	5
-801.17	12	5
-847.87	13	5
-904.39	14	5
-972.48	15	5
-1028.54	16	5
-1100.41	17	5
-1165.61	18	5
-1247.66	19	5
-1326.48	20	5
-1422.23	21	5
-1509.87	22	5
-1617.58	23	5
-1723.86	24	5
-1850.81	25	5
-1965.87	26	5
-2108.99	27	5
-2248.39	28	5
-2412.79	29	5
-2566.93	30	5
-414.76	0	6
-435.67	1	6
-461.56	2	6
-484.99	3	6
-514.31	4	6
-540.95	5	6
-573.80	6	6
-604.39	7	6
-642.43	8	6
-677.77	9	6
-720.62	10	6
-761.88	11	6
-812.02	12	6
-859.93	13	6
-917.41	14	6
-987.07	15	6
-1047.33	16	6
-1119.75	17	6
-1188.61	18	6
-1273.06	19	6
-1354.69	20	6
-1452.96	21	6
-1546.68	22	6
-1654.46	23	6
-1764.62	24	6
-1891.69	25	6
-2017.17	26	6
-2163.00	27	6
-2304.38	28	6
-2472.77	29	6
-2628.56	30	6
-416.73	0	7
-437.64	1	7
-463.83	2	7
-487.76	3	7
-517.46	4	7
-545.17	5	7
-578.65	6	7
-610.32	7	7
-649.13	8	7
-686.07	9	7
-728.75	10	7
-770.68	11	7
-821.41	12	7
-871.56	13	7
-929.58	14	7
-1001.02	15	7
-1063.33	16	7
-1138.08	17	7
-1207.45	18	7
-1295.05	19	7
-1378.54	20	7
-1476.70	21	7
-1571.88	22	7
-1685.82	23	7
-1794.00	24	7
-1927.11	25	7
-2052.65	26	7
-2203.83	27	7
-2345.88	28	7
-2516.52	29	7
-2673.80	30	7
-420.20	0	8
-441.82	1	8
-468.42	2	8
-492.74	3	8
-522.19	4	8
-550.51	5	8
-585.01	6	8
-616.46	7	8
-657.02	8	8
-694.11	9	8
-737.67	10	8
-780.08	11	8
-832.23	12	8
-883.31	13	8
-942.36	14	8
-1013.07	15	8
-1078.25	16	8
-1154.79	17	8
-1225.28	18	8
-1314.00	19	8
-1398.11	20	8
-1498.86	21	8
-1592.45	22	8
-1708.53	23	8
-1817.53	24	8
-1951.39	25	8
-2076.78	26	8
-2231.71	27	8
-2372.35	28	8
-2546.96	29	8
-2704.71	30	8
-424.35	0	9
-446.92	1	9
-473.38	2	9
-498.18	3	9
-528.28	4	9
-557.18	5	9
-591.81	6	9
-624.25	7	9
-664.20	8	9
-701.77	9	9
-746.33	10	9
-789.09	11	9
-842.45	12	9
-892.47	13	9
-953.39	14	9
-1024.11	15	9
-1087.45	16	9
-1164.27	17	9
-1232.88	18	9
-1322.88	19	9
-1405.90	20	9
-1507.34	21	9
-1600.70	22	9
-1717.38	23	9
-1827.09	24	9
-1963.58	25	9
-2088.39	26	9
-2245.21	27	9
-2390.07	28	9
-2568.15	29	9
-2731.51	30	9
-429.15	0	10
-451.53	1	10
-478.41	2	10
-503.60	3	10
-534.17	4	10
-561.98	5	10
-596.55	6	10
-628.62	7	10
-669.36	8	10
-705.69	9	10
-750.66	10	10
-792.80	11	10
-845.09	12	10
-894.38	13	10
-954.76	14	10
-1028.19	15	10
-1088.14	16	10
-1166.98	17	10
-1236.32	18	10
-1325.79	19	10
-1408.68	20	10
-1513.25	21	10
-1608.39	22	10
-1727.55	23	10
-1838.67	24	10
-1977.64	25	10
-2104.33	26	10
-2265.07	27	10
-2411.26	28	10
-2591.09	29	10
-2758.69	30	10
-429.19	0	11
-450.58	1	11
-477.44	2	11
-502.40	3	11
-532.95	4	11
-560.49	5	11
-595.31	6	11
-627.38	7	11
-667.85	8	11
-704.73	9	11
-749.60	10	11
-792.31	11	11
-845.09	12	11
-895.47	13	11
-956.27	14	11
-1031.23	15	11
-1092.37	16	11
-1171.76	17	11
-1242.65	18	11
-1333.33	19	11
-1417.67	20	11
-1524.53	21	11
-1621.24	22	11
-1742.49	23	11
-1858.96	24	11
-1999.64	25	11
-2128.04	26	11
-2290.64	27	11
-2444.43	28	11
-2626.92	29	11
-2794.80	30	11
-427.26	0	12
-448.93	1	12
-475.71	2	12
-500.56	3	12
-531.38	4	12
-559.10	5	12
-594.54	6	12
-626.66	7	12
-667.50	8	12
-704.38	9	12
-749.82	10	12
-793.04	11	12
-846.19	12	12
-898.28	13	12
-960.06	14	12
-1034.99	15	12
-1099.59	16	12
-1178.53	17	12
-1251.92	18	12
-1340.80	19	12
-1429.33	20	12
-1536.36	21	12
-1636.46	22	12
-1756.49	23	12
-1877.13	24	12
-2015.70	25	12
-2148.77	26	12
-2309.19	27	12
-2468.98	28	12
-2651.38	29	12
-2825.14	30	12
-426.41	0	13
-448.18	1	13
-474.77	2	13
-499.67	3	13
-530.42	4	13
-559.15	5	13
-594.06	6	13
-627.38	7	13
-667.94	8	13
-706.65	9	13
-752.04	10	13
-795.46	11	13
-847.81	12	13
-900.70	13	13
-962.19	14	13
-1036.58	15	13
-1104.92	16	13
-1183.50	17	13
-1256.77	18	13
-1348.14	19	13
-1437.20	20	13
-1545.08	21	13
-1643.93	22	13
-1766.89	23	13
-1885.44	24	13
-2027.01	25	13
-2158.83	26	13
-2325.81	27	13
-2479.14	28	13
-2663.72	29	13
-2834.83	30	13
-428.09	0	14
-450.09	1	14
-477.07	2	14
-502.68	3	14
-533.78	4	14
-561.89	5	14
-596.96	6	14
-630.46	7	14
-671.14	8	14
-710.36	9	14
