H, ύ	X, μμ	Y, μμ
-221.32	0	0
-229.71	1	0
-239.51	2	0
-248.34	3	0
-259.20	4	0
-269.25	5	0
-281.60	6	0
-292.52	7	0
-305.84	8	0
-318.02	9	0
-332.13	10	0
-345.67	11	0
-362.04	12	0
-376.42	13	0
-394.41	14	0
-416.52	15	0
-434.32	16	0
-455.62	17	0
-476.06	18	0
-502.21	19	0
-525.28	20	0
-552.89	21	0
-579.27	22	0
-611.34	23	0
-640.67	24	0
-677.70	25	0
-712.57	26	0
-757.76	27	0
-796.02	28	0
-844.12	29	0
-886.16	30	0
-225.38	0	1
-234.32	1	1
-244.83	2	1
-254.13	3	1
-266.07	4	1
-276.54	5	1
-289.56	6	1
-300.69	7	1
-314.60	8	1
-327.25	9	1
-342.38	10	1
-356.38	11	1
-373.58	12	1
-388.49	13	1
-407.30	14	1
-429.83	15	1
-447.62	16	1
-469.84	17	1
-490.03	18	1
-516.22	19	1
-538.02	20	1
-566.39	21	1
-592.69	22	1
-625.24	23	1
-653.22	24	1
-690.34	25	1
-723.34	26	1
-763.22	27	1
-798.10	28	1
-840.57	29	1
-877.93	30	1
-231.16	0	2
-239.98	1	2
-250.57	2	2
-260.09	3	2
-271.95	4	2
-282.38	5	2
-295.67	6	2
-307.01	7	2
-320.91	8	2
-333.24	9	2
-348.52	10	2
-362.00	11	2
-379.24	12	2
-393.91	13	2
-412.08	14	2
-434.18	15	2
-450.89	16	2
-471.55	17	2
-490.14	18	2
-514.38	19	2
-535.97	20	2
-562.76	21	2
-587.87	22	2
-618.82	23	2
-646.86	24	2
-684.27	25	2
-714.22	26	2
-753.59	27	2
-790.09	28	2
-832.06	29	2
-872.27	30	2
-234.51	0	3
-243.36	1	3
-253.91	2	3
-263.26	3	3
-274.81	4	3
-285.26	5	3
-298.00	6	3
-308.94	7	3
-321.88	8	3
-333.31	9	3
-347.43	10	3
-360.18	11	3
-376.46	12	3
-391.75	13	3
-409.46	14	3
-432.35	15	3
-449.44	16	3
-469.31	17	3
-489.53	18	3
-511.94	19	3
-535.05	20	3
-562.07	21	3
-588.32	22	3
-618.90	23	3
-647.30	24	3
-683.09	25	3
-717.63	26	3
-759.67	27	3
-801.70	28	3
-848.78	29	3
-891.24	30	3
-234.50	0	4
-243.19	1	4
-253.26	2	4
-262.24	3	4
-273.06	4	4
-283.11	5	4
-295.49	6	4
-307.30	7	4
-320.43	8	4
-332.37	9	4
-347.18	10	4
-360.46	11	4
-377.00	12	4
-392.88	13	4
-411.41	14	4
-431.84	15	4
-450.68	16	4
-472.83	17	4
-493.86	18	4
-518.70	19	4
