H, ύ	X, μμ	Y, μμ
-407.46	0	0
-431.29	1	0
-453.22	2	0
-480.01	3	0
-504.69	4	0
-534.58	5	0
-562.43	6	0
-595.72	7	0
-625.67	8	0
-665.53	9	0
-700.57	10	0
-743.75	11	0
-789.53	12	0
-839.61	13	0
-886.61	14	0
-948.99	15	0
-1013.93	16	0
-1071.23	17	0
-1140.88	18	0
-1208.75	19	0
-1290.13	20	0
-1363.68	21	0
-1453.11	22	0
-1539.14	23	0
-1638.47	24	0
-1732.98	25	0
-1845.73	26	0
-1949.61	27	0
-2068.83	28	0
-2154.41	29	0
-2275.55	30	0
-412.14	0	1
-433.16	1	1
-458.22	2	1
-481.55	3	1
-510.42	4	1
-536.35	5	1
-568.93	6	1
-598.92	7	1
-635.94	8	1
-669.69	9	1
-710.83	10	1
-749.67	11	1
-796.71	12	1
-841.57	13	1
-895.73	14	1
-957.92	15	1
-1014.60	16	1
-1081.26	17	1
-1142.49	18	1
-1218.37	19	1
-1290.51	20	1
-1377.59	21	1
-1457.93	22	1
-1556.01	23	1
-1647.59	24	1
-1756.19	25	1
-1855.95	26	1
-1978.51	27	1
-2087.02	28	1
-2216.36	29	1
-2329.83	30	1
-418.21	0	2
-439.08	1	2
-464.57	2	2
-487.53	3	2
-516.94	4	2
-542.96	5	2
-575.83	6	2
-605.66	7	2
-643.27	8	2
-677.57	9	2
-719.53	10	2
-758.26	11	2
-806.62	12	2
-852.44	13	2
-908.02	14	2
-972.67	15	2
-1030.41	16	2
-1099.38	17	2
-1162.20	18	2
-1240.22	19	2
-1315.04	20	2
-1404.64	21	2
-1486.66	22	2
-1586.28	23	2
-1681.68	24	2
-1792.28	25	2
-1896.45	26	2
-2020.14	27	2
-2134.78	28	2
-2266.64	29	2
-2389.82	30	2
-423.62	0	3
-444.75	1	3
-470.91	2	3
-494.78	3	3
-524.65	4	3
-551.40	5	3
-584.90	6	3
-615.31	7	3
-653.94	8	3
-689.17	9	3
-732.19	10	3
-772.02	11	3
-820.59	12	3
-868.42	13	3
-924.70	14	3
-990.82	15	3
-1051.34	16	3
-1120.88	17	3
-1188.62	18	3
-1267.43	19	3
-1344.89	20	3
-1434.63	21	3
-1524.81	22	3
-1624.27	23	3
-1727.70	24	3
-1841.30	25	3
-1951.53	26	3
-2076.46	27	3
-2198.85	28	3
-2336.64	29	3
-2467.44	30	3
-427.95	0	4
-449.65	1	4
-476.18	2	4
-500.30	3	4
-530.60	4	4
-558.25	5	4
-591.88	6	4
-623.30	7	4
-662.29	8	4
-698.92	9	4
-742.60	10	4
-784.56	11	4
-833.64	12	4
-884.12	13	4
-941.59	14	4
