H, ύ	X, μμ	Y, μμ
-347.26	0	0
-363.86	1	0
-384.34	2	0
-403.16	3	0
-425.99	4	0
-447.18	5	0
-473.02	6	0
-496.38	7	0
-525.14	8	0
-553.00	9	0
-587.06	10	0
-618.44	11	0
-656.22	12	0
-690.96	13	0
-734.37	14	0
-787.19	15	0
-832.80	16	0
-887.72	17	0
-939.58	18	0
-1003.84	19	0
-1062.11	20	0
-1137.01	21	0
-1208.24	22	0
-1297.23	23	0
-1380.92	24	0
-1487.51	25	0
-1591.47	26	0
-1722.03	27	0
-1848.42	28	0
-2013.96	29	0
-2182.69	30	0
-352.61	0	1
-369.57	1	1
-390.32	2	1
-409.51	3	1
-432.49	4	1
-453.95	5	1
-480.79	6	1
-504.38	7	1
-534.48	8	1
-562.72	9	1
-597.46	10	1
-628.89	11	1
-666.65	12	1
-700.63	13	1
-745.58	14	1
-797.21	15	1
-842.90	16	1
-898.94	17	1
-950.49	18	1
-1016.15	19	1
-1074.52	20	1
-1150.38	21	1
-1223.17	22	1
-1314.42	23	1
-1400.51	24	1
-1512.56	25	1
-1620.05	26	1
-1757.62	27	1
-1889.12	28	1
-2060.87	29	1
-2233.30	30	1
-357.88	0	2
-374.89	1	2
-395.08	2	2
-413.71	3	2
-437.11	4	2
-457.91	5	2
-485.04	6	2
-508.74	7	2
-538.37	8	2
-566.16	9	2
-600.29	10	2
-631.22	11	2
-669.06	12	2
-702.74	13	2
-747.92	14	2
-802.68	15	2
-846.08	16	2
-903.31	17	2
-956.35	18	2
-1022.55	19	2
-1083.82	20	2
-1161.54	21	2
-1238.00	22	2
-1332.70	23	2
-1423.64	24	2
-1538.00	25	2
-1651.38	26	2
-1791.29	27	2
-1929.92	28	2
-2106.13	29	2
-2286.73	30	2
-357.28	0	3
-374.07	1	3
-394.41	2	3
-413.16	3	3
-436.52	4	3
-457.64	5	3
-484.58	6	3
-508.03	7	3
-538.30	8	3
-565.90	9	3
-601.56	10	3
-634.09	11	3
-673.77	12	3
-709.55	13	3
-755.85	14	3
-813.48	15	3
-860.56	16	3
-921.13	17	3
-977.65	18	3
-1048.16	19	3
-1114.05	20	3
-1197.74	21	3
-1277.91	22	3
-1374.54	23	3
-1470.59	24	3
-1593.79	25	3
-1713.88	26	3
-1864.75	27	3
-2009.55	28	3
-2191.61	29	3
-2373.10	30	3
-359.71	0	4
-376.38	1	4
-397.62	2	4
-416.75	3	4
-440.80	4	4
-462.31	5	4
-490.26	6	4
-514.98	7	4
