H, ύ	X, μμ	Y, μμ
-62.84	0	0
-59.67	2	0
-53.64	4	0
-45.95	6	0
-35.08	8	0
-20.18	10	0
0.08	12	0
24.86	14	0
66.01	16	0
115.16	18	0
178.23	20	0
259.77	22	0
369.05	24	0
514.08	26	0
694.04	28	0
936.02	30	0
-63.35	0	2
-59.62	2	2
-53.50	4	2
-44.77	6	2
-32.53	8	2
-16.31	10	2
5.93	12	2
34.22	14	2
78.49	16	2
133.13	18	2
203.90	20	2
291.86	22	2
409.00	24	2
561.24	26	2
763.46	28	2
1028.01	30	2
-64.15	0	4
-59.73	2	4
-53.17	4	4
-43.82	6	4
-30.27	8	4
-12.90	10	4
11.09	12	4
42.41	14	4
91.37	16	4
146.17	18	4
222.66	20	4
317.32	22	4
439.45	24	4
602.00	26	4
813.35	28	4
1089.08	30	4
-63.90	0	6
-59.02	2	6
-51.63	4	6
-41.53	6	6
-26.60	8	6
-6.77	10	6
18.62	12	6
51.97	14	6
102.97	16	6
162.56	18	6
242.91	20	6
341.21	22	6
469.36	24	6
638.15	26	6
857.16	28	6
1139.81	30	6
-62.19	0	8
-56.15	2	8
-48.16	4	8
-36.56	6	8
-20.79	8	8
-0.12	10	8
27.21	12	8
61.84	14	8
114.91	16	8
175.55	18	8
255.82	20	8
354.76	22	8
483.92	24	8
651.91	26	8
865.14	28	8
1141.73	30	8
-57.83	0	10
-51.31	2	10
-42.43	4	10
-30.29	6	10
-14.00	8	10
6.81	10	10
33.55	12	10
68.00	14	10
119.49	16	10
177.63	18	10
256.75	20	10
356.15	22	10
484.09	24	10
652.75	26	10
871.79	28	10
1157.05	30	10
-55.55	0	12
-49.11	2	12
-40.43	4	12
-28.71	6	12
-13.26	8	12
5.56	10	12
31.90	12	12
65.87	14	12
119.00	16	12
176.92	18	12
256.10	20	12
359.40	22	12
488.23	24	12
663.46	26	12
886.62	28	12
1172.95	30	12
-55.11	0	14
-48.97	2	14
-41.03	4	14
-30.40	6	14
-15.51	8	14
4.33	10	14
32.02	12	14
65.79	14	14
116.93	16	14
177.23	18	14
257.29	20	14
360.61	22	14
494.90	24	14
668.77	26	14
893.15	28	14
1184.04	30	14
-55.35	0	16
-50.07	2	16
-42.59	4	16
-31.21	6	16
-15.51	8	16
4.20	10	16
30.51	12	16
65.45	14	16
117.63	16	16
177.31	18	16
261.79	20	16
363.64	22	16
497.82	24	16
674.59	26	16
902.76	28	16
1186.13	30	16
-56.96	0	18
-51.28	2	18
-43.31	4	18
-32.11	6	18
-17.22	8	18
3.18	10	18
29.43	12	18
64.28	14	18
117.74	16	18
176.52	18	18
260.46	20	18
365.18	22	18
504.74	24	18
675.29	26	18
898.40	28	18
1189.24	30	18
-57.46	0	20
-52.16	2	20
-44.46	4	20
-33.33	6	20
-18.58	8	20
1.48	10	20
28.41	12	20
62.36	14	20
116.18	16	20
176.63	18	20
259.28	20	20
362.40	22	20
497.11	24	20
669.17	26	20
894.06	28	20
1183.42	30	20
-57.77	0	22
-52.51	2	22
-44.87	4	22
-33.69	6	22
-18.88	8	22
0.71	10	22
27.81	12	22
62.59	14	22
114.13	16	22
173.67	18	22
253.52	20	22
355.09	22	22
487.62	24	22
653.41	26	22
874.43	28	22
1156.36	30	22
-58.17	0	24
-52.62	2	24
-44.74	4	24
-33.21	6	24
-17.49	8	24
1.53	10	24
27.89	12	24
61.74	14	24
113.82	16	24
169.50	18	24
247.31	20	24
343.25	22	24
469.64	24	24
631.56	26	24
841.47	28	24
1112.51	30	24
-56.11	0	26
-49.87	2	26
-41.55	4	26
-30.04	6	26
-15.60	8	26
3.25	10	26
28.25	12	26
59.79	14	26
107.03	16	26
158.53	18	26
227.78	20	26
314.43	22	26
427.86	24	26
574.98	26	26
771.40	28	26
1023.00	30	26
-53.64	0	28
-47.89	2	28
-40.34	4	28
-30.46	6	28
-17.31	8	28
-0.65	10	28
20.44	12	28
48.25	14	28
90.66	16	28
138.38	18	28
201.11	20	28
281.55	22	28
388.67	24	28
526.20	26	28
708.55	28	28
943.64	30	28
