H, ύ	X, μμ	Y, μμ
-255.43	0	0
-267.91	1	0
-278.69	2	0
-292.03	3	0
-304.14	4	0
-319.22	5	0
-332.38	6	0
-348.69	7	0
-363.49	8	0
-381.85	9	0
-398.22	10	0
-418.46	11	0
-436.25	12	0
-459.39	13	0
-480.08	14	0
-508.43	15	0
-536.30	16	0
-560.94	17	0
-591.63	18	0
-619.19	19	0
-654.69	20	0
-688.53	21	0
-731.60	22	0
-767.94	23	0
-814.12	24	0
-859.43	25	0
-917.61	26	0
-972.29	27	0
-1042.17	28	0
-1109.60	29	0
-1195.30	30	0
-260.92	0	1
-273.74	1	1
-284.63	2	1
-298.22	3	1
-310.15	4	1
-325.55	5	1
-338.64	6	1
-354.66	7	1
-368.91	8	1
-387.48	9	1
-403.67	10	1
-423.99	11	1
-441.77	12	1
-463.49	13	1
-482.92	14	1
-509.37	15	1
-536.58	16	1
-561.62	17	1
-592.54	18	1
-620.09	19	1
-656.20	20	1
-689.29	21	1
-730.33	22	1
-769.58	23	1
-816.06	24	1
-862.56	25	1
-923.27	26	1
-980.51	27	1
-1051.57	28	1
-1121.28	29	1
-1207.57	30	1
-263.70	0	2
-276.22	1	2
-287.30	2	2
-300.70	3	2
-312.30	4	2
-326.94	5	2
-339.48	6	2
-355.29	7	2
-369.13	8	2
-386.83	9	2
-403.32	10	2
-423.46	11	2
-442.10	12	2
-464.09	13	2
-484.96	14	2
-511.74	15	2
-538.77	16	2
-565.75	17	2
-597.84	18	2
-627.07	19	2
-661.70	20	2
-695.69	21	2
-739.29	22	2
-780.98	23	2
-832.66	24	2
-882.33	25	2
-944.10	26	2
-1004.66	27	2
-1082.24	28	2
-1159.50	29	2
-1254.38	30	2
-264.03	0	3
-276.03	1	3
-286.87	2	3
-300.00	3	3
-311.91	4	3
-327.12	5	3
-339.75	6	3
-355.98	7	3
-370.73	8	3
-388.81	9	3
-406.34	10	3
-427.06	11	3
-445.74	12	3
-468.42	13	3
-490.19	14	3
-517.89	15	3
-547.32	16	3
-575.15	17	3
-608.90	18	3
-639.00	19	3
-676.96	20	3
-712.91	21	3
-759.83	22	3
-804.69	23	3
-860.52	24	3
-914.08	25	3
-981.56	26	3
-1043.54	27	3
-1128.45	28	3
-1209.37	29	3
-1310.56	30	3
-263.47	0	4
-275.87	1	4
-287.33	2	4
-300.98	3	4
-313.14	4	4
-328.11	5	4
-341.86	6	4
-358.54	7	4
-374.07	8	4
-393.24	9	4
-410.99	10	4
-432.11	11	4
-451.56	12	4
-476.22	13	4
-499.45	14	4
-529.00	15	4
-560.65	16	4
-589.79	17	4
-623.77	18	4
-656.82	19	4
-697.37	20	4
-734.77	21	4
-784.41	22	4
-831.25	23	4
-889.33	24	4
-943.49	25	4
-1015.50	26	4
-1086.25	27	4
-1173.49	28	4
-1259.26	29	4
-1368.62	30	4
-265.43	0	5
-278.21	1	5
-290.08	2	5
-304.38	3	5
-317.42	4	5
-334.33	5	5
-347.35	6	5
-364.64	7	5
-381.04	8	5
-401.18	9	5
-419.57	10	5
-442.64	11	5
-463.04	12	5
-488.68	13	5
-512.00	14	5
-544.49	15	5
-575.92	16	5
-604.62	17	5
-641.84	18	5
-675.18	19	5
-717.73	20	5
-756.55	21	5
-808.80	22	5
-856.11	23	5
-917.99	24	5
-972.71	25	5
-1044.82	26	5
-1112.22	27	5
-1199.59	28	5
-1285.56	29	5
-1391.74	30	5
-270.54	0	6
-284.11	1	6
-296.00	2	6
-310.88	3	6
-324.16	4	6
-341.08	5	6
-355.39	6	6
-373.49	7	6
-389.69	8	6
-410.56	9	6
-429.22	10	6
-452.25	11	6
-472.80	12	6
-498.96	13	6
-522.79	14	6
-554.94	15	6
-585.75	16	6
-613.91	17	6
-650.78	18	6
-683.44	19	6
-725.70	20	6
-764.34	21	6
-812.91	22	6
-857.50	23	6
-915.79	24	6
-969.65	25	6
-1038.49	26	6
-1103.54	27	6
-1188.40	28	6
-1269.96	29	6
-1375.45	30	6
-275.21	0	7
-288.72	1	7
-300.63	2	7
-315.94	3	7
-329.43	4	7
-346.06	5	7
-360.56	6	7
-378.43	7	7
-394.31	8	7
-414.75	9	7
-432.84	10	7
-455.68	11	7
-475.76	12	7
-500.54	13	7
-523.29	14	7
-553.82	15	7
-584.64	16	7
-613.01	17	7
-648.38	18	7
-681.19	19	7
-723.23	20	7
-762.65	21	7
-808.39	22	7
-853.34	23	7
-909.96	24	7
-966.27	25	7
-1035.35	26	7
-1102.51	27	7
-1187.61	28	7
-1269.89	29	7
-1373.05	30	7
-277.33	0	8
-290.79	1	8
-302.54	2	8
-317.30	3	8
-330.52	4	8
-346.55	5	8
-360.30	6	8
-377.45	7	8
-392.93	8	8
-412.42	9	8
-430.31	10	8
-452.73	11	8
-473.75	12	8
-498.07	13	8
-522.01	14	8
-552.74	15	8
-583.34	16	8
-613.48	17	8
-649.58	18	8
-683.40	19	8
-723.96	20	8
-763.75	21	8
-812.67	22	8
-858.63	23	8
-919.40	24	8
-978.05	25	8
-1049.41	26	8
-1116.77	27	8
-1206.53	28	8
-1297.99	29	8
-1409.07	30	8
-276.26	0	9
-289.23	1	9
-300.54	2	9
-314.67	3	9
-327.83	4	9
-344.62	5	9
-358.30	6	9
-375.76	7	9
-392.13	8	9
-411.85	9	9
-430.73	10	9
-453.58	11	9
-474.26	12	9
-499.20	13	9
-523.31	14	9
-554.78	15	9
-587.45	16	9
-617.79	17	9
-655.15	18	9
-689.14	19	9
-719.86	20	9
-766.74	21	9
