H, ύ	X, μμ	Y, μμ
-286.51	0	0
-297.89	1	0
-312.36	2	0
-324.95	3	0
-341.22	4	0
-355.25	5	0
-372.50	6	0
-387.83	7	0
-407.48	8	0
-424.36	9	0
-445.39	10	0
-464.18	11	0
-488.10	12	0
-511.22	13	0
-539.11	14	0
-570.67	15	0
-600.31	16	0
-634.24	17	0
-668.84	18	0
-709.16	19	0
-749.43	20	0
-799.46	21	0
-846.49	22	0
-904.78	23	0
-962.13	24	0
-1035.97	25	0
-1108.30	26	0
-1202.22	27	0
-1297.31	28	0
-1418.44	29	0
-1535.28	30	0
-289.91	0	1
-301.13	1	1
-315.02	2	1
-327.30	3	1
-343.31	4	1
-356.96	5	1
-373.95	6	1
-389.36	7	1
-410.05	8	1
-428.02	9	1
-449.55	10	1
-470.11	11	1
-494.18	12	1
-518.60	13	1
-547.86	14	1
-579.97	15	1
-610.69	16	1
-645.98	17	1
-681.80	18	1
-725.58	19	1
-767.56	20	1
-820.14	21	1
-870.24	22	1
-931.93	23	1
-992.39	24	1
-1071.41	25	1
-1149.51	26	1
-1249.21	27	1
-1351.01	28	1
-1483.04	29	1
-1606.74	30	1
-290.57	0	2
-304.58	1	2
-317.04	2	2
-331.98	3	2
-345.86	4	2
-362.71	5	2
-378.25	6	2
-397.65	7	2
-415.41	8	2
-436.93	9	2
-456.18	10	2
-480.84	11	2
-503.71	12	2
-532.53	13	2
-558.58	14	2
-593.40	15	2
-629.50	16	2
-662.69	17	2
-705.48	18	2
-747.35	19	2
-798.14	20	2
-846.49	21	2
-910.06	22	2
-968.60	23	2
-1040.92	24	2
-1114.99	25	2
-1208.70	26	2
-1284.63	27	2
-1391.75	28	2
-1524.09	29	2
-1654.73	30	2
-290.72	0	3
-302.65	1	3
-317.08	2	3
-330.29	3	3
-347.23	4	3
-362.14	5	3
-380.44	6	3
-397.49	7	3
-418.35	8	3
-437.38	9	3
-460.73	10	3
-482.62	11	3
-510.05	12	3
-535.50	13	3
-567.45	14	3
-604.47	15	3
-635.30	16	3
-674.86	17	3
-712.27	18	3
-760.10	19	3
-806.42	20	3
-863.02	21	3
-916.69	22	3
-985.95	23	3
-1052.87	24	3
-1139.22	25	3
-1221.88	26	3
-1329.99	27	3
-1438.33	28	3
-1576.59	29	3
-1714.33	30	3
-294.60	0	4
-307.15	1	4
-322.61	2	4
-337.36	3	4
-354.10	4	4
-369.37	5	4
-389.12	6	4
-406.19	7	4
-428.66	8	4
-448.91	9	4
-473.81	10	4
-496.14	11	4
-525.02	12	4
-551.39	13	4
-583.97	14	4
-622.44	15	4
-654.62	16	4
-695.33	17	4
-734.29	18	4
-783.91	19	4
-830.90	20	4
-889.42	21	4
-943.95	22	4
-1013.63	23	4
-1080.17	24	4
-1166.40	25	4
-1250.08	26	4
-1356.85	27	4
-1463.18	28	4
-1596.63	29	4
-1729.64	30	4
-301.69	0	5
-314.45	1	5
-330.29	2	5
-344.39	3	5
-362.96	4	5
-378.70	5	5
-398.57	6	5
-416.14	7	5
-438.90	8	5
-459.13	9	5
-483.72	10	5
-506.03	11	5
-533.93	12	5
-559.93	13	5
-592.50	14	5
-629.06	15	5
-659.55	16	5
-698.76	17	5
-736.35	18	5
-784.73	19	5
-830.53	20	5
-887.78	21	5
-943.95	22	5
-1012.14	23	5
-1077.11	24	5
-1162.48	25	5
-1242.92	26	5
-1351.28	27	5
-1459.35	28	5
-1597.05	29	5
-1730.81	30	5
-305.25	0	6
-317.69	1	6
-333.48	2	6
-347.48	3	6
-365.66	4	6
-381.15	5	6
-400.61	6	6
-417.33	7	6
-438.44	8	6
-457.63	9	6
-481.16	10	6
-503.16	11	6
-531.09	12	6
-557.65	13	6
-590.61	14	6
-626.45	15	6
-660.28	16	6
