H, ύ	X, μμ	Y, μμ
-377.07	0	0
-398.40	1	0
-417.42	2	0
-441.10	3	0
-462.10	4	0
-489.32	5	0
-513.32	6	0
-543.59	7	0
-570.63	8	0
-605.27	9	0
-636.16	10	0
-675.24	11	0
-710.25	12	0
-753.78	13	0
-794.10	14	0
-848.85	15	0
-903.45	16	0
-955.13	17	0
-1017.88	18	0
-1075.52	19	0
-1149.31	20	0
-1218.17	21	0
-1304.88	22	0
-1386.34	23	0
-1488.29	24	0
-1584.99	25	0
-1706.23	26	0
-1821.71	27	0
-1967.17	28	0
-2111.74	29	0
-2202.96	30	0
-382.68	0	1
-404.57	1	1
-423.64	2	1
-447.57	3	1
-468.81	4	1
-496.54	5	1
-520.33	6	1
-551.16	7	1
-578.38	8	1
-613.07	9	1
-644.01	10	1
-682.50	11	1
-717.98	12	1
-762.31	13	1
-804.84	14	1
-860.77	15	1
-916.96	16	1
-970.91	17	1
-1036.70	18	1
-1096.81	19	1
-1173.78	20	1
-1246.99	21	1
-1336.46	22	1
-1419.82	23	1
-1524.92	24	1
-1627.34	25	1
-1754.91	26	1
-1874.69	27	1
-2029.06	28	1
-2176.59	29	1
-2357.86	30	1
-386.82	0	2
-408.59	1	2
-427.99	2	2
-452.15	3	2
-473.53	4	2
-501.22	5	2
-525.48	6	2
-556.78	7	2
-585.36	8	2
-621.35	9	2
-653.65	10	2
-693.52	11	2
-730.87	12	2
-776.01	13	2
-821.08	14	2
-877.69	15	2
-936.82	16	2
-992.26	17	2
-1060.35	18	2
-1123.81	19	2
-1202.60	20	2
-1277.73	21	2
-1372.77	22	2
-1458.61	23	2
-1567.73	24	2
-1673.15	25	2
-1804.51	26	2
-1929.22	27	2
-2085.94	28	2
-2235.07	29	2
-2419.99	30	2
-389.76	0	3
-412.13	1	3
-431.98	2	3
-456.93	3	3
-479.18	4	3
-507.80	5	3
-533.01	6	3
-565.08	7	3
-594.52	8	3
-631.15	9	3
-664.81	10	3
-704.93	11	3
-744.75	12	3
-791.47	13	3
-837.95	14	3
-897.19	15	3
-958.01	16	3
-1016.44	17	3
-1087.04	18	3
-1151.96	19	3
-1234.89	20	3
-1311.12	21	3
-1409.00	22	3
-1501.06	23	3
-1609.89	24	3
-1715.85	25	3
-1850.08	26	3
-1975.33	27	3
-2135.98	28	3
-2286.13	29	3
-2472.26	30	3
-393.41	0	4
-415.71	1	4
-436.31	2	4
-461.47	3	4
-484.84	4	4
-513.66	5	4
-540.26	6	4
-573.23	7	4
-602.68	8	4
-640.41	9	4
-675.73	10	4
-718.30	11	4
-757.85	12	4
-807.53	13	4
-854.33	14	4
-914.83	15	4
-977.43	16	4
-1036.62	17	4
-1108.90	18	4
-1174.60	19	4
-1258.44	20	4
-1335.77	21	4
-1434.32	22	4
-1526.82	23	4
-1641.61	24	4
-1749.63	25	4
-1884.46	26	4
-2011.52	27	4
-2173.53	28	4
-2325.03	29	4
-2512.79	30	4
-398.27	0	5
-421.06	1	5
-442.41	2	5
-467.86	3	5
-491.25	4	5
-520.73	5	5
-547.36	6	5
-580.62	7	5
-611.22	8	5
-649.83	9	5
-685.19	10	5
-728.82	11	5
-768.62	12	5
-818.99	13	5
-865.70	14	5
-928.68	15	5
-991.93	16	5
-1051.51	17	5
-1125.68	18	5
-1192.18	19	5
-1277.54	20	5
-1357.32	21	5
-1456.50	22	5
-1548.31	23	5
-1664.01	24	5
-1771.95	25	5
-1908.37	26	5
-2034.70	27	5
-2196.08	28	5
-2348.13	29	5
-2536.65	30	5
-410.11	0	6
-429.93	1	6
-455.23	2	6
-478.05	3	6
-507.13	4	6
-532.19	5	6
-564.35	6	6
-593.62	7	6
-631.02	8	6
-664.46	9	6
-706.60	10	6
-743.79	11	6
-791.43	12	6
-836.10	13	6
-891.29	14	6
-954.35	15	6
-1010.80	16	6
-1080.09	17	6
-1143.97	18	6
-1223.10	19	6
-1299.65	20	6
-1393.64	21	6
-1482.27	22	6
-1594.52	23	6
-1696.99	24	6
-1826.98	25	6
-1949.76	26	6
-2103.56	27	6
-2254.98	28	6
-2435.47	29	6
-2601.81	30	6
-414.16	0	7
-434.17	1	7
-459.64	2	7
-482.56	3	7
-511.84	4	7
-537.03	5	7
-569.39	6	7
-598.70	7	7
-635.67	8	7
-669.74	9	7
-710.97	10	7
-749.21	11	7
-796.36	12	7
-842.56	13	7
-899.09	14	7
-963.04	15	7
-1022.55	16	7
-1093.27	17	7
-1159.02	18	7
-1240.46	19	7
-1319.72	20	7
-1415.27	21	7
-1505.55	22	7
-1618.26	23	7
-1726.72	24	7
-1858.67	25	7
-1983.87	26	7
-2141.82	27	7
-2293.81	28	7
-2473.51	29	7
-2641.05	30	7
-416.80	0	8
-436.85	1	8
-462.12	2	8
-485.25	3	8
-514.41	4	8
-539.86	5	8
-572.35	6	8
-602.40	7	8
-640.53	8	8
-675.45	9	8
-717.19	10	8
-757.60	11	8
-804.56	12	8
-852.55	13	8
-910.26	14	8
-973.88	15	8
-1036.65	16	8
-1106.86	17	8
-1177.24	18	8
-1259.56	19	8
-1340.45	20	8
-1438.74	21	8
-1530.16	22	8
-1644.55	23	8
-1754.36	24	8
-1889.00	25	8
-2017.13	26	8
-2174.21	27	8
-2324.72	28	8
-2507.54	29	8
-2666.58	30	8
-417.36	0	9
-437.79	1	9
-463.86	2	9
-487.00	3	9
-516.63	4	9
-543.12	5	9
-575.89	6	9
-606.81	7	9
-645.21	8	9
-680.78	9	9
-722.54	10	9
-764.02	11	9
-813.64	12	9
-861.03	13	9
-919.60	14	9
-985.96	15	9
-1049.21	16	9
-1121.89	17	9
-1192.12	18	9
-1276.92	19	9
-1358.38	20	9
-1457.87	21	9
-1552.50	22	9
-1669.95	23	9
-1776.28	24	9
-1911.77	25	9
-2037.33	26	9
-2192.98	27	9
-2342.62	28	9
-2522.34	29	9
-2683.59	30	9
-418.59	0	10
-439.75	1	10
-465.50	2	10
-489.76	3	10
-519.60	4	10
-546.64	5	10
-580.60	6	10
-611.38	7	10
-650.03	8	10
-686.39	9	10
-730.91	10	10
-771.99	11	10
-823.27	12	10
-871.11	13	10
-931.93	14	10
-998.62	15	10
-1061.59	16	10
-1136.48	17	10
-1204.65	18	10
-1291.56	19	10
-1372.20	20	10
-1472.46	21	10
-1564.93	22	10
-1683.74	23	10
-1793.44	24	10
-1928.71	25	10
-2053.98	26	10
-2211.29	27	10
-2358.90	28	10
-2537.10	29	10
-2697.34	30	10
-421.85	0	11
-443.21	1	11
-470.17	2	11
-493.60	3	11
-523.76	4	11
-550.73	5	11
-584.86	6	11
-615.97	7	11
-656.19	8	11
-691.91	9	11
-736.98	10	11
-777.97	11	11
-830.24	12	11
-877.40	13	11
-938.09	14	11
-1008.40	15	11
-1069.58	16	11
-1145.33	17	11
-1213.49	18	11
-1300.47	19	11
-1383.48	20	11
-1483.99	21	11
-1576.98	22	11
-1694.71	23	11
-1802.69	24	11
-1938.79	25	11
-2062.91	26	11
-2218.72	27	11
-2364.88	28	11
-2540.91	29	11
-2699.97	30	11
-425.55	0	12
-446.56	1	12
-473.40	2	12
-497.38	3	12
-528.51	4	12
-555.60	5	12
-590.06	6	12
-621.08	7	12
-661.11	8	12
-696.82	9	12
-742.05	10	12
-782.81	11	12
-834.05	12	12
-881.70	13	12
-941.71	14	12
-1010.80	15	12
-1071.84	16	12
-1146.24	17	12
-1214.66	18	12
-1300.18	19	12
-1382.12	20	12
-1481.51	21	12
-1576.72	22	12
-1696.69	23	12
-1805.46	24	12
-1941.20	25	12
-2068.03	26	12
-2223.06	27	12
-2376.08	28	12
-2558.10	29	12
-2717.82	30	12
-426.50	0	13
-447.55	1	13
-474.39	2	13
-498.24	3	13
-529.08	4	13
-555.96	5	13
-590.30	6	13
-621.38	7	13
-660.87	8	13
-696.04	9	13
-740.30	10	13
-781.11	11	13
-831.72	12	13
-880.56	13	13
-940.21	14	13
-1010.07	15	13
-1073.14	16	13
-1146.57	17	13
-1217.77	18	13
-1302.34	19	13
-1388.17	20	13
-1488.72	21	13
-1583.54	22	13
-1700.40	23	13
-1812.34	24	13
-1951.65	25	13
-2080.85	26	13
-2239.25	27	13
-2390.22	28	13
-2567.55	29	13
-2728.97	30	13
-426.57	0	14
-447.28	1	14
-473.59	2	14
-497.51	3	14
-528.08	4	14
-554.76	5	14
-588.59	6	14
-620.18	7	14
-659.69	8	14
-696.67	9	14
-740.18	10	14
-782.80	11	14
-831.99	12	14
-882.37	13	14
-942.09	14	14
-1010.01	15	14
-1076.77	16	14
-1149.75	17	14
-1222.95	18	14
-1308.30	19	14
-1394.22	20	14
-1496.24	21	14
-1593.18	22	14
-1711.22	23	14
-1822.94	24	14
-1962.68	25	14
-2092.13	26	14
-2250.45	27	14
-2402.43	28	14
-2582.60	29	14
-2738.31	30	14
-424.00	0	15
-445.45	1	15
-472.10	2	15
-495.67	3	15
-526.38	4	15
-553.60	5	15
-587.21	6	15
-619.82	7	15
-659.28	8	15
-696.04	9	15
-739.21	10	15
-782.06	11	15
-834.04	12	15
-883.56	13	15
-944.36	14	15
-1013.67	15	15
-1078.10	16	15
-1154.27	17	15
-1226.07	18	15
-1314.40	19	15
-1398.79	20	15
-1501.45	21	15
-1597.94	22	15
-1718.96	23	15
-1828.10	24	15
-1967.92	25	15
-2095.38	26	15
-2253.53	27	15
-2400.82	28	15
-2578.64	29	15
-2738.20	30	15
-425.84	0	16
-451.10	1	16
-474.14	2	16
-503.11	3	16
-529.14	4	16
-561.68	5	16
-592.31	6	16
-629.94	7	16
-664.32	8	16
-707.05	9	16
-746.12	10	16
-796.95	11	16
-842.86	12	16
-900.97	13	16
-953.02	14	16
-1023.90	15	16
-1099.61	16	16
-1166.11	17	16
-1248.92	18	16
-1327.10	19	16
-1425.03	20	16
-1513.07	21	16
-1627.08	22	16
-1733.08	23	16
-1862.55	24	16
-1982.99	25	16
-2134.19	26	16
-2273.50	27	16
-2443.52	28	16
-2598.25	29	16
-2783.16	30	16
-432.75	0	17
-454.94	1	17
-482.63	2	17
-506.76	3	17
-537.46	4	17
