H, ύ	X, μμ	Y, μμ
-274.35	0	0
-284.94	1	0
-298.48	2	0
-309.73	3	0
-324.45	4	0
-337.72	5	0
-353.90	6	0
-368.83	7	0
-387.68	8	0
-404.16	9	0
-424.23	10	0
-443.43	11	0
-467.19	12	0
-489.59	13	0
-516.15	14	0
-549.14	15	0
-576.56	16	0
-611.13	17	0
-642.03	18	0
-677.78	19	0
-715.57	20	0
-760.86	21	0
-806.76	22	0
-861.97	23	0
-916.31	24	0
-982.75	25	0
-1047.01	26	0
-1129.39	27	0
-1215.10	28	0
-1324.84	29	0
-1294.10	30	0
-274.25	0	1
-285.48	1	1
-299.30	2	1
-311.53	3	1
-326.75	4	1
-340.93	5	1
-358.42	6	1
-374.18	7	1
-394.33	8	1
-411.38	9	1
-432.97	10	1
-452.33	11	1
-475.90	12	1
-498.40	13	1
-526.33	14	1
-559.96	15	1
-590.18	16	1
-625.81	17	1
-657.76	18	1
-696.38	19	1
-734.35	20	1
-783.05	21	1
-827.12	22	1
-883.21	23	1
-937.37	24	1
-1006.74	25	1
-1071.98	26	1
-1156.37	27	1
-1238.87	28	1
-1349.81	29	1
-1450.99	30	1
-277.59	0	2
-289.46	1	2
-304.58	2	2
-317.70	3	2
-333.81	4	2
-348.12	5	2
-365.41	6	2
-380.42	7	2
-400.95	8	2
-419.42	9	2
-441.53	10	2
-462.06	11	2
-487.27	12	2
-510.75	13	2
-538.77	14	2
-572.55	15	2
-602.84	16	2
-638.82	17	2
-671.87	18	2
-712.62	19	2
-750.98	20	2
-799.28	21	2
-843.67	22	2
-900.17	23	2
-954.29	24	2
-1021.19	25	2
-1086.80	26	2
-1168.58	27	2
-1247.49	28	2
-1361.11	29	2
-1464.73	30	2
-283.66	0	3
-295.08	1	3
-310.17	2	3
-323.49	3	3
-339.77	4	3
-354.61	5	3
-373.08	6	3
-388.88	7	3
-409.17	8	3
-427.47	9	3
-450.19	10	3
-470.88	11	3
-496.22	12	3
-520.63	13	3
-550.09	14	3
-583.77	15	3
-613.28	16	3
-650.21	17	3
-683.21	18	3
-723.67	19	3
-760.87	20	3
-808.03	21	3
-851.36	22	3
-906.63	23	3
-962.60	24	3
-1030.65	25	3
-1094.98	26	3
-1177.63	27	3
-1257.31	28	3
-1360.95	29	3
-1461.13	30	3
-288.55	0	4
-300.88	1	4
-315.99	2	4
-329.10	3	4
-345.81	4	4
-360.76	5	4
-379.06	6	4
-395.19	7	4
-416.25	8	4
-434.75	9	4
-457.20	10	4
-477.69	11	4
-503.50	12	4
-527.73	13	4
-556.40	14	4
-590.04	15	4
-618.75	16	4
-653.99	17	4
-687.49	18	4
-728.57	19	4
-765.64	20	4
-812.53	21	4
-855.50	22	4
-910.55	23	4
-963.87	24	4
-1032.11	25	4
-1095.08	26	4
-1178.33	27	4
-1260.21	28	4
-1368.02	29	4
-1470.45	30	4
-293.96	0	5
-308.84	1	5
-322.04	2	5
-337.63	3	5
-351.60	4	5
-369.44	5	5
-385.12	6	5
-404.06	7	5
-421.51	8	5
-442.75	9	5
-461.60	10	5
-486.37	11	5
-509.10	12	5
-536.28	13	5
-559.69	14	5
-593.73	15	5
-627.39	16	5
-657.25	17	5
-695.30	18	5
-729.49	19	5
-774.39	20	5
-815.52	21	5
-867.07	22	5
-916.54	23	5
-980.25	24	5
-1039.84	25	5
-1118.78	26	5
-1193.54	27	5
-1291.46	28	5
-1387.82	29	5
-1511.66	30	5
-294.24	0	6
-309.03	1	6
-321.75	2	6
-336.45	3	6
-349.50	4	6
-366.23	5	6
-381.35	6	6
-400.29	7	6
-416.53	8	6
-437.41	9	6
-456.48	10	6
-480.86	11	6
-502.01	12	6
-529.47	13	6
-552.76	14	6
-587.11	15	6
-620.77	16	6
-651.30	17	6
-690.92	18	6
-728.32	19	6
-775.08	20	6
-818.44	21	6
-873.84	22	6
-928.82	23	6
-997.85	24	6
-1065.64	25	6
-1150.93	26	6
-1235.63	27	6
-1342.18	28	6
-1451.93	29	6
-1584.10	30	6
-290.48	0	7
-304.65	1	7
-317.07	2	7
-332.07	3	7
-345.14	4	7
-362.42	5	7
-377.76	6	7
-397.22	7	7
-414.95	8	7
-436.79	9	7
-456.46	10	7
-482.20	11	7
-505.32	12	7
-535.67	13	7
-561.85	14	7
-598.38	15	7
-636.21	16	7
-669.86	17	7
-713.36	18	7
-752.03	19	7
-799.47	20	7
-847.33	21	7
-907.10	22	7
-967.10	23	7
-1039.62	24	7
-1110.21	25	7
-1197.27	26	7
-1283.15	27	7
-1395.63	28	7
-1510.01	29	7
-1647.15	30	7
-290.62	0	8
-305.27	1	8
-318.27	2	8
-333.78	3	8
-347.98	4	8
-365.90	5	8
-382.69	6	8
-403.88	7	8
-422.53	8	8
-445.54	9	8
-466.58	10	8
-493.02	11	8
-516.77	12	8
-545.51	13	8
-572.84	14	8
-611.53	15	8
-650.77	16	8
-687.00	17	8
-730.65	18	8
-772.05	19	8
-820.87	20	8
-869.22	21	8
-929.72	22	8
-989.31	23	8
-1060.18	24	8
-1132.34	25	8
-1221.77	26	8
-1308.39	27	8
-1420.43	28	8
-1530.65	29	8
-1667.86	30	8
-293.04	0	9
-308.24	1	9
-322.19	2	9
-338.83	3	9
-353.88	4	9
-372.73	5	9
-389.59	6	9
-410.14	7	9
-427.94	8	9
-451.38	9	9
-473.58	10	9
-500.14	11	9
-525.72	12	9
-556.33	13	9
-584.44	14	9
-622.09	15	9
-660.68	16	9
-697.72	17	9
-741.11	18	9
-783.42	19	9
-834.63	20	9
-882.93	21	9
-941.34	22	9
-1001.57	23	9
-1072.54	24	9
-1142.99	25	9
-1229.91	26	9
-1313.83	27	9
-1419.26	28	9
-1523.80	29	9
-1660.62	30	9
-296.55	0	10
-312.43	1	10
-326.20	2	10
-342.17	3	10
-357.07	4	10
-376.39	5	10
-393.35	6	10
-415.02	7	10
-434.05	8	10
-457.56	9	10
-478.63	10	10
-504.99	11	10
-530.70	12	10
-561.61	13	10
-589.90	14	10
-628.24	15	10
-667.61	16	10
-702.94	17	10
-746.19	18	10
-788.46	19	10
-838.98	20	10
-885.14	21	10
-942.53	22	10
-998.68	23	10
-1067.85	24	10
-1135.11	25	10
-1225.78	26	10
-1307.31	27	10
-1412.42	28	10
-1516.13	29	10
-1642.53	30	10
-299.17	0	11
-315.45	1	11
-329.86	2	11
-346.73	3	11
-361.31	4	11
-379.54	5	11
-396.74	6	11
-418.35	7	11
-437.54	8	11
-461.07	9	11
-482.90	10	11
-509.51	11	11
-533.77	12	11
-564.31	13	11
-592.92	14	11
-630.70	15	11
-668.53	16	11
-702.13	17	11
-744.23	18	11
-783.37	19	11
-833.80	20	11
-880.53	21	11
-937.64	22	11
-991.13	23	11
-1059.83	24	11
-1124.91	25	11
-1210.25	26	11
-1286.93	27	11
-1386.53	28	11
-1482.26	29	11
-1609.15	30	11
-301.40	0	12
-317.66	1	12
-331.48	2	12
-348.37	3	12
-363.45	4	12
-382.01	5	12
-398.40	6	12
-419.86	7	12
-438.56	8	12
-461.87	9	12
-482.82	10	12
-508.72	11	12
-531.81	12	12
-561.54	13	12
-588.06	14	12
-626.23	15	12
-663.44	16	12
-695.53	17	12
-736.82	18	12
-775.00	19	12
-822.92	20	12
-866.39	21	12
-921.10	22	12
-974.59	23	12
-1042.52	24	12
-1107.14	25	12
-1189.85	26	12
-1266.95	27	12
-1368.47	28	12
-1466.11	29	12
-1587.59	30	12
-302.08	0	13
-317.69	1	13
-331.28	2	13
-347.36	3	13
-361.61	4	13
-379.10	5	13
-395.99	6	13
-416.48	7	13
-433.92	8	13
-456.33	9	13
-476.13	10	13
-501.13	11	13
-523.68	12	13
-552.08	13	13
-577.53	14	13
-614.44	15	13
-649.85	16	13
-681.07	17	13
-722.20	18	13
-759.17	19	13
-806.22	20	13
-849.30	21	13
-904.96	22	13
-960.96	23	13
-1030.12	24	13
-1097.82	25	13
-1183.17	26	13
-1264.87	27	13
-1368.55	28	13
-1475.31	29	13
-1610.69	30	13
-297.46	0	14
-312.22	1	14
-325.00	2	14
-340.79	3	14
-354.76	4	14
-372.25	5	14
-388.19	6	14
-408.12	7	14
-425.67	8	14
-447.51	9	14
-467.76	10	14
-493.21	11	14
-516.85	12	14
-546.55	13	14
-567.07	14	14
-608.41	15	14
-638.60	16	14
-679.58	17	14
-717.17	18	14
-763.28	19	14
-808.19	20	14
-863.06	21	14
-915.49	22	14
-980.84	23	14
-1045.22	24	14
