H, ύ	X, μμ	Y, μμ
-319.01	0	0
-335.27	1	0
-349.67	2	0
-367.42	3	0
-383.53	4	0
-403.71	5	0
-422.47	6	0
-445.32	7	0
-466.97	8	0
-492.54	9	0
-517.44	10	0
-547.02	11	0
-574.85	12	0
-608.66	13	0
-641.39	14	0
-683.50	15	0
-725.94	16	0
-768.66	17	0
-819.88	18	0
-868.59	19	0
-927.78	20	0
-987.21	21	0
-1059.00	22	0
-1129.92	23	0
-1215.99	24	0
-1305.51	25	0
-1417.63	26	0
-1528.82	27	0
-1675.58	28	0
-1829.55	29	0
-1936.40	30	0
-320.63	0	1
-337.35	1	1
-352.65	2	1
-370.48	3	1
-387.85	4	1
-408.80	5	1
-428.15	6	1
-451.76	7	1
-473.91	8	1
-500.88	9	1
-525.85	10	1
-556.15	11	1
-585.45	12	1
-620.14	13	1
-654.43	14	1
-699.52	15	1
-744.86	16	1
-788.56	17	1
-840.13	18	1
-892.61	19	1
-956.26	20	1
-1017.36	21	1
-1094.34	22	1
-1170.94	23	1
-1259.58	24	1
-1352.47	25	1
-1470.10	26	1
-1584.02	27	1
-1736.88	28	1
-1894.22	29	1
-2101.82	30	1
-322.40	0	2
-339.44	1	2
-355.05	2	2
-373.40	3	2
-390.75	4	2
-412.47	5	2
-432.53	6	2
-456.59	7	2
-479.50	8	2
-507.63	9	2
-533.71	10	2
-565.04	11	2
-594.53	12	2
-631.37	13	2
-666.59	14	2
-713.77	15	2
-762.58	16	2
-805.78	17	2
-860.61	18	2
-912.73	19	2
-977.95	20	2
-1042.65	21	2
-1122.09	22	2
-1198.68	23	2
-1295.31	24	2
-1392.48	25	2
-1514.05	26	2
-1633.01	27	2
-1789.92	28	2
-1949.88	29	2
-2159.53	30	2
-326.37	0	3
-343.98	1	3
-359.85	2	3
-379.48	3	3
-397.69	4	3
-420.30	5	3
-440.22	6	3
-465.40	7	3
-488.23	8	3
-517.27	9	3
-544.63	10	3
-577.90	11	3
-608.24	12	3
-646.12	13	3
-682.94	14	3
-731.73	15	3
-781.06	16	3
-827.99	17	3
-885.70	18	3
-939.04	19	3
-1006.43	20	3
-1072.66	21	3
-1154.56	22	3
-1231.79	23	3
-1331.56	24	3
-1427.05	25	3
-1547.12	26	3
-1667.73	27	3
-1824.16	28	3
-1983.12	29	3
-2193.43	30	3
-332.92	0	4
-350.93	1	4
-367.22	2	4
-387.90	3	4
-406.15	4	4
-429.34	5	4
-450.20	6	4
-476.25	7	4
-499.83	8	4
-529.93	9	4
-557.18	10	4
-591.23	11	4
-622.28	12	4
-660.55	13	4
-696.49	14	4
-746.09	15	4
-795.90	16	4
-842.63	17	4
-900.79	18	4
-953.68	19	4
-1020.01	20	4
-1082.74	21	4
-1162.48	22	4
-1239.50	23	4
-1336.99	24	4
-1433.88	25	4
-1553.70	26	4
-1678.04	27	4
-1829.53	28	4
-1993.63	29	4
-2199.46	30	4
-337.85	0	5
-356.08	1	5
-372.38	2	5
-392.72	3	5
-410.95	4	5
-433.91	5	5
-454.74	6	5
-480.17	7	5
-503.84	8	5
-532.96	9	5
-559.90	10	5
-592.52	11	5
-622.86	12	5
-659.99	13	5
-697.45	14	5
-745.47	15	5
-795.20	16	5
-843.59	17	5
-898.51	18	5
-955.50	19	5
-1020.25	20	5
-1087.76	21	5
-1168.21	22	5
-1247.90	23	5
-1345.48	24	5
-1446.28	25	5
-1568.57	26	5
-1697.95	27	5
-1856.34	28	5
-2025.95	29	5
-2241.70	30	5
-339.30	0	6
-357.29	1	6
-373.21	2	6
-392.83	3	6
-410.74	4	6
-432.81	5	6
-452.86	6	6
-477.73	7	6
-501.55	8	6
-531.27	9	6
-559.26	10	6
-591.78	11	6
-623.84	12	6
-660.60	13	6
-698.78	14	6
-748.25	15	6
-798.26	16	6
-847.47	17	6
-901.91	18	6
-959.94	19	6
-1027.25	20	6
-1097.40	21	6
-1180.41	22	6
-1265.22	23	6
-1365.45	24	6
-1469.22	25	6
-1595.52	26	6
-1722.20	27	6
-1888.46	28	6
-2059.23	29	6
-2279.83	30	6
-339.18	0	7
-356.64	1	7
-372.59	2	7
-392.31	3	7
-410.77	4	7
-434.05	5	7
-454.77	6	7
-480.44	7	7
-504.03	8	7
-533.29	9	7
-561.78	10	7
-595.22	11	7
-627.46	12	7
-664.40	13	7
-703.74	14	7
-753.44	15	7
-804.59	16	7
-854.77	17	7
-914.71	18	7
-972.45	19	7
-1041.52	20	7
-1111.79	21	7
-1197.43	22	7
-1282.84	23	7
-1387.98	24	7
-1493.94	25	7
-1628.31	26	7
-1753.60	27	7
-1919.49	28	7
-2091.15	29	7
-2306.21	30	7
-340.06	0	8
-357.72	1	8
-374.27	2	8
-394.40	3	8
-413.19	4	8
-436.73	5	8
-458.11	6	8
-483.86	7	8
-507.73	8	8
-537.60	9	8
-566.35	10	8
-600.36	11	8
-633.87	12	8
-673.22	13	8
-712.35	14	8
-763.23	15	8
-814.96	16	8
-866.69	17	8
-928.02	18	8
-988.21	19	8
-1061.63	20	8
-1135.44	21	8
-1219.04	22	8
-1306.20	23	8
-1413.77	24	8
-1519.88	25	8
-1653.51	26	8
-1786.78	27	8
-1955.46	28	8
-2126.98	29	8
-2345.24	30	8
-341.40	0	9
-359.83	1	9
-376.15	2	9
-396.54	3	9
-415.78	4	9
-439.29	5	9
-461.40	6	9
-488.00	7	9
-512.64	8	9
-543.11	9	9
-572.08	10	9
-607.10	11	9
-640.62	12	9
-681.37	13	9
-721.82	14	9
-774.95	15	9
-827.12	16	9
-879.98	17	9
-942.12	18	9
-1002.75	19	9
-1077.76	20	9
-1150.16	21	9
-1241.15	22	9
-1327.99	23	9
-1439.05	24	9
-1545.90	25	9
-1680.48	26	9
-1812.86	27	9
-1982.65	28	9
-2153.39	29	9
-2371.09	30	9
-343.31	0	10
-362.09	1	10
-379.28	2	10
-400.08	3	10
-419.87	4	10
-444.71	5	10
-466.26	6	10
-493.00	7	10
-518.98	8	10
-549.94	9	10
-579.59	10	10
-616.04	11	10
-649.53	12	10
-691.38	13	10
-732.86	14	10
-786.75	15	10
-841.30	16	10
-893.83	17	10
-959.24	18	10
-1019.70	19	10
-1095.40	20	10
-1168.54	21	10
-1259.93	22	10
-1346.40	23	10
-1455.28	24	10
-1560.70	25	10
-1693.65	26	10
-1824.60	27	10
-1992.21	28	10
-2159.11	29	10
-2377.00	30	10
-348.50	0	11
-367.30	1	11
-384.55	2	11
-406.37	3	11
-426.07	4	11
-450.93	5	11
-473.49	6	11
-501.19	7	11
-526.52	8	11
-558.75	9	11
-588.57	10	11
-624.81	11	11
-658.28	12	11
-699.21	13	11
-738.92	14	11
-792.45	15	11
-846.34	16	11
-897.88	17	11
-959.75	18	11
-1017.75	19	11
-1089.47	20	11
-1160.90	21	11
-1248.84	22	11
-1334.29	23	11
-1440.94	24	11
-1548.38	25	11
-1675.38	26	11
-1807.22	27	11
-1970.54	28	11
-2142.97	29	11
-2361.15	30	11
-349.74	0	12
-365.34	1	12
-385.43	2	12
-403.42	3	12
-425.58	4	12
-445.55	5	12
-471.79	6	12
-494.99	7	12
-523.01	8	12
-549.05	9	12
-580.67	10	12
-611.06	11	12
-648.30	12	12
-683.13	13	12
-726.00	14	12
-780.35	15	12
-826.77	16	12
-880.23	17	12
-936.47	18	12
-1000.53	19	12
-1065.89	20	12
-1143.03	21	12
-1221.34	22	12
-1314.23	23	12
-1408.06	24	12
-1525.15	25	12
-1641.75	26	12
-1785.50	27	12
-1933.50	28	12
-2119.82	29	12
-2314.66	30	12
-348.91	0	13
-364.63	1	13
-384.55	2	13
-401.91	3	13
-423.36	4	13
-442.83	5	13
-467.54	6	13
-490.14	7	13
-518.99	8	13
-545.98	9	13
-578.11	10	13
-609.11	11	13
-646.69	12	13
-681.05	13	13
-723.78	14	13
-776.59	15	13
-824.60	16	13
-878.60	17	13
-933.46	18	13
-999.53	19	13
-1064.63	20	13
-1142.66	21	13
-1223.68	22	13
-1319.28	23	13
-1413.62	24	13
-1531.76	25	13
-1648.43	26	13
-1797.92	27	13
-1946.09	28	13
-2136.52	29	13
-2331.36	30	13
-346.90	0	14
-362.06	1	14
-381.44	2	14
-398.83	3	14
-421.07	4	14
-441.07	5	14
-466.56	6	14
-489.70	7	14
-517.49	8	14
-544.09	9	14
-576.71	10	14
-608.02	11	14
-645.46	12	14
-680.39	13	14
-723.06	14	14
-775.03	15	14
-823.77	16	14
-879.97	17	14
-936.58	18	14
-1002.80	19	14
-1068.25	20	14
-1145.78	21	14
-1227.02	22	14
-1325.65	23	14
-1421.52	24	14
-1544.37	25	14
-1664.51	26	14
-1807.86	27	14
-1955.73	28	14
-2145.09	29	14
-2339.78	30	14
-345.71	0	15
-361.16	1	15
-380.63	2	15
-398.50	3	15
-420.76	4	15
-440.77	5	15
-466.35	6	15
-489.15	7	15
-516.89	8	15
-544.45	9	15
-576.99	10	15
-608.84	11	15
-647.07	12	15
-682.60	13	15
-725.32	14	15
-778.59	15	15
-827.61	16	15
-884.85	17	15
-940.76	18	15
-1010.29	19	15
-1077.85	20	15
-1157.57	21	15
-1236.54	22	15
-1338.10	23	15
-1431.70	24	15
-1553.90	25	15
-1673.65	26	15
-1825.08	27	15
-1972.97	28	15
-2161.38	29	15
-2356.41	30	15
-344.91	0	16
-360.23	1	16
-379.81	2	16
-397.70	3	16
-419.90	4	16
-440.20	5	16
-466.18	6	16
-489.49	7	16
-517.66	8	16
-544.52	9	16
-577.71	10	16
-610.31	11	16
-648.43	12	16
-684.67	13	16
-729.99	14	16
-782.49	15	16
-831.37	16	16
-888.89	17	16
-945.60	18	16
-1015.53	19	16
-1081.46	20	16
-1163.10	21	16
-1244.16	22	16
-1345.26	23	16
-1441.30	24	16
-1563.72	25	16
-1681.65	26	16
-1834.03	27	16
-1982.55	28	16
-2170.34	29	16
-2364.23	30	16
-344.69	0	17
-360.71	1	17
-380.60	2	17
-398.57	3	17
-421.65	4	17
-441.57	5	17
-467.56	6	17
-491.60	7	17
-520.40	8	17
