H, ύ	X, μμ	Y, μμ
-193.00	0	0
-200.00	1	0
-205.79	2	0
-213.03	3	0
-219.08	4	0
-226.56	5	0
-233.31	6	0
-241.93	7	0
-250.09	8	0
-258.78	9	0
-266.62	10	0
-275.86	11	0
-284.47	12	0
-294.45	13	0
-303.93	14	0
-315.55	15	0
-326.70	16	0
-336.38	17	0
-348.03	18	0
-359.46	19	0
-372.14	20	0
-384.45	21	0
-397.83	22	0
-410.03	23	0
-422.95	24	0
-435.41	25	0
-452.38	26	0
-468.35	27	0
-487.20	28	0
-503.38	29	0
-516.29	30	0
-191.15	0	1
-198.09	1	1
-204.47	2	1
-211.36	3	1
-217.90	4	1
-225.63	5	1
-232.45	6	1
-240.94	7	1
-248.77	8	1
-257.66	9	1
-265.72	10	1
-274.80	11	1
-284.20	12	1
-294.38	13	1
-304.10	14	1
-316.69	15	1
-329.16	16	1
-339.96	17	1
-351.92	18	1
-363.85	19	1
-378.07	20	1
-391.42	21	1
-407.95	22	1
-424.41	23	1
-439.65	24	1
-453.60	25	1
-473.50	26	1
-490.08	27	1
-508.96	28	1
-527.04	29	1
-549.27	30	1
-190.86	0	2
-198.07	1	2
-204.42	2	2
-211.80	3	2
-218.22	4	2
-226.06	5	2
-233.21	6	2
-241.89	7	2
-249.89	8	2
-258.99	9	2
-267.54	10	2
-277.35	11	2
-287.04	12	2
-298.34	13	2
-308.74	14	2
-322.66	15	2
-337.12	16	2
-347.63	17	2
-361.12	18	2
-375.19	19	2
-390.94	20	2
-405.26	21	2
-422.85	22	2
-439.28	23	2
-459.37	24	2
-477.79	25	2
-501.75	26	2
-520.18	27	2
-541.26	28	2
-558.22	29	2
-580.26	30	2
-192.37	0	3
-199.45	1	3
-206.07	2	3
-214.30	3	3
-221.46	4	3
-230.16	5	3
-238.31	6	3
-247.10	7	3
-255.49	8	3
-265.75	9	3
-274.71	10	3
-285.80	11	3
-296.67	12	3
-308.92	13	3
-320.14	14	3
-335.46	15	3
-350.68	16	3
-362.86	17	3
-377.67	18	3
-392.17	19	3
-409.66	20	3
-425.03	21	3
-443.98	22	3
-460.69	23	3
-481.03	24	3
-499.54	25	3
-521.56	26	3
-539.53	27	3
-560.37	28	3
-578.56	29	3
-596.90	30	3
-199.55	0	4
-206.65	1	4
-214.65	2	4
-222.02	3	4
-231.50	4	4
-239.47	5	4
-248.81	6	4
-257.38	7	4
-267.66	8	4
-276.50	9	4
-287.78	10	4
-298.00	11	4
-309.62	12	4
-320.46	13	4
-332.88	14	4
-347.44	15	4
-359.40	16	4
-372.84	17	4
-385.92	18	4
-400.54	19	4
-412.81	20	4
-427.31	21	4
-440.55	22	4
-454.98	23	4
-468.65	24	4
-484.69	25	4
-500.60	26	4
-520.93	27	4
-537.30	28	4
-548.38	29	4
-559.84	30	4
-203.97	0	5
-210.73	1	5
-219.14	2	5
-226.42	3	5
-234.67	4	5
-242.27	5	5
-251.69	6	5
-259.73	7	5
-269.03	8	5
-276.86	9	5
-286.42	10	5
-294.78	11	5
-304.21	12	5
-312.92	13	5
-323.71	14	5
-336.89	15	5
-349.72	16	5
-360.98	17	5
-372.14	18	5
-384.77	19	5
-396.55	20	5
-410.47	21	5
-424.38	22	5
-440.00	23	5
-454.08	24	5
-468.26	25	5
-483.63	26	5
-501.09	27	5
-518.24	28	5
-537.68	29	5
-553.20	30	5
-204.30	0	6
-211.14	1	6
-218.54	2	6
-225.12	3	6
-232.89	4	6
-239.53	5	6
-247.47	6	6
-254.71	7	6
-263.92	8	6
-272.66	9	6
-281.62	10	6
-290.18	11	6
-300.20	12	6
-309.19	13	6
-320.16	14	6
-332.57	15	6
-344.29	16	6
-355.87	17	6
-367.59	18	6
-381.11	19	6
-394.00	20	6
-408.76	21	6
-423.73	22	6
-439.99	23	6
-455.49	24	6
-474.20	25	6
-492.43	26	6
-514.43	27	6
-534.68	28	6
-560.37	29	6
-584.92	30	6
-202.34	0	7
-208.35	1	7
-216.00	2	7
-223.28	3	7
-230.64	4	7
-237.73	5	7
-246.05	6	7
-253.48	7	7
-262.79	8	7
-271.02	9	7
-280.82	10	7
-289.41	11	7
-299.19	12	7
-309.23	13	7
-320.25	14	7
-330.62	15	7
-343.52	16	7
-355.00	17	7
-368.22	18	7
-381.45	19	7
-396.57	20	7
-412.04	21	7
-429.81	22	7
-447.39	23	7
-469.61	24	7
-487.29	25	7
-508.09	26	7
-531.05	27	7
-556.37	28	7
-579.07	29	7
-607.05	30	7
-201.13	0	8
-207.32	1	8
-215.31	2	8
-222.37	3	8
-230.36	4	8
-237.27	5	8
-245.92	6	8
-253.65	7	8
-262.97	8	8
-271.67	9	8
-281.93	10	8
-291.15	11	8
-301.83	12	8
-311.85	13	8
-324.01	14	8
-338.65	15	8
-351.21	16	8
-366.41	17	8
-380.18	18	8
-394.74	19	8
-410.72	20	8
-429.37	21	8
-446.39	22	8
-467.91	23	8
-488.12	24	8
-513.15	25	8
-537.04	26	8
-566.14	27	8
-593.25	28	8
-622.10	29	8
-649.36	30	8
-201.38	0	9
-207.88	1	9
-216.04	2	9
-223.23	3	9
-231.60	4	9
-239.31	5	9
-248.88	6	9
-257.21	7	9
-267.71	8	9
-277.23	9	9
-287.22	10	9
-297.38	11	9
-309.39	12	9
-320.33	13	9
-333.80	14	9
-350.10	15	9
-363.07	16	9
-378.74	17	9
-394.71	18	9
-412.28	19	9
-428.16	20	9
-448.14	21	9
-467.53	22	9
-490.09	23	9
-510.33	24	9
-538.51	25	9
-563.35	26	9
-591.88	27	9
-617.56	28	9
-646.24	29	9
-671.62	30	9
-205.32	0	10
-212.26	1	10
-221.25	2	10
-229.37	3	10
-238.75	4	10
-247.08	5	10
-257.78	6	10
-266.56	7	10
-277.00	8	10
-286.88	9	10
-298.73	10	10
-309.17	11	10
-322.25	12	10
-333.49	13	10
-347.23	14	10
-363.51	15	10
-374.92	16	10
-389.21	17	10
-403.34	18	10
-419.97	19	10
-434.77	20	10
-451.93	21	10
-466.62	22	10
-483.78	23	10
-499.52	24	10
-518.10	25	10
-535.95	26	10
-555.50	27	10
-573.29	28	10
-596.09	29	10
-613.98	30	10
-210.18	0	11
-217.20	1	11
-225.82	2	11
-233.54	3	11
-243.24	4	11
-251.28	5	11
-260.60	6	11
-269.35	7	11
-277.02	8	11
-286.95	9	11
-295.98	10	11
-305.97	11	11
-315.04	12	11
-325.41	13	11
-334.88	14	11
-348.03	15	11
-360.77	16	11
-372.68	17	11
-386.75	18	11
-397.80	19	11
-412.08	20	11
-424.65	21	11
-439.08	22	11
-454.84	23	11
-472.38	24	11
-488.43	25	11
-504.62	26	11
-522.11	27	11
-542.88	28	11
-561.02	29	11
-581.19	30	11
-211.12	0	12
-217.87	1	12
-225.48	2	12
-232.14	3	12
-239.98	4	12
-247.81	5	12
-256.50	6	12
-263.93	7	12
-272.74	8	12
-281.25	9	12
-291.93	10	12
-300.88	11	12
-311.01	12	12
-320.46	13	12
-330.85	14	12
-344.02	15	12
-356.08	16	12
-368.83	17	12
-380.16	18	12
-392.51	19	12
-405.86	20	12
-421.21	21	12
-436.19	22	12
-453.79	23	12
-470.29	24	12
-488.77	25	12
-506.77	26	12
-529.18	27	12
-552.99	28	12
-579.97	29	12
-604.90	30	12
-208.62	0	13
-214.90	1	13
-221.92	2	13
-228.22	3	13
-236.43	4	13
-244.00	5	13
-253.00	6	13
-261.11	7	13
-269.74	8	13
-278.16	9	13
-288.48	10	13
-297.28	11	13
-307.98	12	13
-317.15	13	13
-328.36	14	13
-341.63	15	13
-353.21	16	13
-366.62	17	13
-379.14	18	13
-392.73	19	13
-405.87	20	13
-422.29	21	13
-439.32	22	13
-459.16	23	13
-478.25	24	13
-502.74	25	13
-524.26	26	13
-545.68	27	13
-570.20	28	13
-600.68	29	13
-626.16	30	13
-206.33	0	14
-212.90	1	14
-220.13	2	14
-226.53	3	14
