H, ύ	X, μμ	Y, μμ
-126.73	0	0
-128.85	1	0
-131.43	2	0
-133.47	3	0
-135.84	4	0
-137.56	5	0
-139.25	6	0
-140.78	7	0
-142.52	8	0
-144.00	9	0
-145.01	10	0
-145.84	11	0
-146.61	12	0
-145.75	13	0
-145.02	14	0
-144.11	15	0
-141.83	16	0
-138.42	17	0
-135.26	18	0
-130.03	19	0
-124.07	20	0
-115.31	21	0
-106.78	22	0
-94.00	23	0
-79.43	24	0
-60.09	25	0
-39.79	26	0
-12.35	27	0
16.24	28	0
54.12	29	0
89.68	30	0
-129.47	0	1
-132.31	1	1
-134.46	2	1
-136.98	3	1
-140.17	4	1
-142.39	5	1
-145.12	6	1
-147.71	7	1
-150.16	8	1
-152.01	9	1
-153.77	10	1
-155.08	11	1
-155.67	12	1
-155.90	13	1
-155.80	14	1
-154.71	15	1
-152.69	16	1
-149.85	17	1
-146.07	18	1
-140.66	19	1
-134.26	20	1
-124.46	21	1
-113.13	22	1
-98.15	23	1
-82.89	24	1
-61.35	25	1
-39.56	26	1
-8.57	27	1
23.80	28	1
68.29	29	1
111.77	30	1
-133.86	0	2
-136.36	1	2
-139.60	2	2
-142.20	3	2
-145.26	4	2
-147.51	5	2
-150.12	6	2
-152.29	7	2
-154.50	8	2
-156.02	9	2
-157.03	10	2
-157.38	11	2
-157.37	12	2
-156.91	13	2
-155.57	14	2
-153.10	15	2
-149.82	16	2
-144.41	17	2
-138.12	18	2
-130.35	19	2
-121.75	20	2
-109.62	21	2
-96.52	22	2
-79.03	23	2
-61.61	24	2
-39.15	25	2
-11.59	26	2
23.16	27	2
59.46	28	2
107.66	29	2
153.01	30	2
-136.23	0	3
-138.57	1	3
-141.36	2	3
-143.72	3	3
-146.23	4	3
-148.06	5	3
-149.51	6	3
-150.38	7	3
-151.25	8	3
-151.33	9	3
-150.98	10	3
-150.43	11	3
-149.64	12	3
-148.89	13	3
-146.87	14	3
-142.87	15	3
-138.60	16	3
-132.45	17	3
-125.94	18	3
-117.57	19	3
-108.35	20	3
-95.89	21	3
-80.32	22	3
-61.48	23	3
-41.36	24	3
-16.29	25	3
9.87	26	3
44.18	27	3
81.17	28	3
127.76	29	3
173.48	30	3
-135.07	0	4
-137.11	1	4
-138.93	2	4
-141.13	3	4
-143.06	4	4
-144.65	5	4
-145.38	6	4
-146.59	7	4
-147.22	8	4
-147.63	9	4
-147.78	10	4
-147.28	11	4
-146.48	12	4
-144.32	13	4
-142.26	14	4
-138.78	15	4
-134.08	16	4
-129.15	17	4
-121.81	18	4
-113.77	19	4
-102.76	20	4
-91.94	21	4
-77.31	22	4
-62.31	23	4
-43.00	24	4
-23.02	25	4
6.79	26	4
38.21	27	4
75.89	28	4
113.70	29	4
164.44	30	4
-132.34	0	5
-134.78	1	5
-136.74	2	5
-139.25	3	5
-140.97	4	5
-142.45	5	5
-143.79	6	5
-145.07	7	5
-146.18	8	5
-147.03	9	5
-147.29	10	5
-146.60	11	5
-145.95	12	5
-145.20	13	5
-144.15	14	5
-142.00	15	5
-138.71	16	5
-134.69	17	5
-127.42	18	5
-121.15	19	5
-112.57	20	5
-102.79	21	5
-88.25	22	5
-73.69	23	5
-54.39	24	5
-34.74	25	5
-7.77	26	5
18.97	27	5
55.31	28	5
94.79	29	5
144.91	30	5
-132.11	0	6
-134.62	1	6
-136.65	2	6
-139.39	3	6
-141.77	4	6
-144.32	5	6
-146.30	6	6
-148.90	7	6
-149.41	8	6
-150.58	9	6
-152.02	10	6
-152.41	11	6
-152.59	12	6
-152.94	13	6
-152.71	14	6
-150.85	15	6
-148.47	16	6
-146.00	17	6
-140.24	18	6
-133.58	19	6
-124.46	20	6
-115.36	21	6
-101.83	22	6
-86.86	23	6
-67.92	24	6
-48.55	25	6
-21.32	26	6
7.18	27	6
