H, ύ	X, μμ	Y, μμ
-383.56	18	58
-199.16	0	60
-200.64	2	60
-199.92	4	60
-194.68	6	60
-183.00	8	60
-164.95	10	60
-136.54	12	60
-94.72	14	60
-32.23	16	60
42.14	18	60
-132.43	0	62
-123.51	2	62
-109.16	4	62
-87.72	6	62
-56.72	8	62
-13.50	10	62
43.52	12	62
121.71	14	62
235.79	16	62
367.46	18	62
-63.10	0	64
-43.27	2	64
-14.47	4	64
22.83	6	64
74.22	8	64
140.12	10	64
226.91	12	64
340.78	14	64
510.22	16	64
700.57	18	64
-5.56	0	66
22.75	2	66
61.70	4	66
111.20	6	66
176.13	8	66
259.87	10	66
366.27	12	66
506.52	14	66
708.51	16	66
952.93	18	66
51.55	0	68
88.82	2	68
137.01	4	68
197.25	6	68
273.97	8	68
371.96	10	68
494.12	12	68
655.47	14	68
890.72	16	68
1168.59	18	68
97.56	0	70
139.48	2	70
193.70	4	70
259.83	6	70
343.30	8	70
447.41	10	70
578.30	12	70
745.77	14	70
989.29	16	70
1275.29	18	70
